"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations";"id";"FederationAbbr";"team";"CountryAbbr";"source ID"
"Nova União Galo Preto";"https://nova-uniao-galo-preto.negocio.site/";" + 55 45 99146-4513";"Av. Araucária, 716, Vila A";"Foz do Iguaçu";"PR";"85860-000";;"Brasil";;;;;;;;;;;"Andre Luiz Candido da Silva";;;"https://www.facebook.com/novauniaogalopreto/";;;;0;;"CBJJ";;"BR";7063
"Santos Jiu-Jitsu";;;"Rua Cacique 52";"Foz do Iguaçu";"PR";"85869-150";;"Brasil";;;;;;;;;;;"Carlos Aldair Medeiros dos Santos";;;;;;;0;;"CBJJ";;"BR";7576
"Fs Team BJJ";;;"Av. Julio Assis Cavalheiro n: 22, 2 andar - Loja Eletro Beltrao";"Francisco Beltrão";"PR";"85601-000";;"Brasil";;;;;;;;;;;"Fabio José de Oliveira";;;;;;;0;;"CBJJ";;"BR";7549
"Be One Jiu-Jitsu Academy";;;"Rua Tenente Camargo n: 1385/24, Centro";"Francisco Beltrão";"PR";"85605-090";;"Brasil";;;;;;;;;;;"Fabio José de Oliveira";;;;;;;0;;"CBJJ";;"BR";2122
"Gracie Barra Francisco Beltrão";"https://www.graciebarrabeltrao.com.br/";" + 55 46 3035-0400";"Travessa Frei Deodato n: 77, bairro: Centro";"Francisco Beltrão";"PR";"85601-620";;"Brasil";"Em uma vida dedicada ao crescimento e desenvolvimento do Jiu-Jitsu e da Gracie Barra, o Mestre Carlos Gracie Jr. sempre orientou seus esforços e ações baseado em princípios e valores. Entre os valores mais presentes em tudo que o Mestre Carlinhos construiu se destacaram-se irmandade, expansão e integridade. Dito de forma simples por ele mesmo: “Minha vida é dedicada ao Jiu-Jitsu. Meu objetivo sempre foi construir uma irmandade para liderar a expansão do Jiu-Jitsu, respeitando sempre a essência da nossa arte. Meus alunos são uma extensão da minha família. Eu quero que cada um dos meus alunos desenvolva o seu potencial como ser humano, ajudando na expansão do Jiu-Jitsu. Devemos fazer isso honrando as tradições e os esforços daqueles que vieram antes de nós.”- Carlos Gracie Jr.";"https://static.wixstatic.com/media/f2437f_f097632d85bc48d98eb79b7242e4fd08~mv2.png/v1/fill/w_204,h_83,al_c,q_85/f2437f_f097632d85bc48d98eb79b7242e4fd08~mv2.webp";;;;;;;"https://www.graciebarrabeltrao.com.br/horarios";;"Alvaro Alexandre Francescon";;;"https://www.facebook.com/gbarrabeltrao/";"https://www.youtube.com/user/alvaroafrancescon";"https://youtu.be/VKn4aDj5uoI";;0;;"CBJJ";;"BR";7453
"Matsushita Jiu-Jitsu";;" + 55 43 99646-7884";"Rua Prudente de Morais n: 245, Champagnat";"Londrina";"PR";"86062-120";;"Brasil";"Disciplina, Humildade, Honra, Respeito, Coragem, Perseverança, Confiança, Auto Defesa, Qualidade de Vida, entre outros são ensinados através da filosofia do Jiu-Jitsu.";;;;;;;;;;"Thiago Massao Matsushita";;;"https://www.facebook.com/matsushita.Jiujitsu/";;;;0;;"CBJJ";;"BR";6756
"Cristyan Bernardino Evolução Jiu-Jitsu";"https://evolucaojiujitsu.com/";" + 55 44 9912-1244";"Rua Luiz de Camões n: 135 Zona 01";"Maringá";"PR";"87013-210";;"Brasil";"A Escola de Artes Marciais Evolução Jiu-Jitsu, foi fundada em 2012 pelo professor Cristyan Devanir Martins, faixa preta 3⁰ grau, naquele mesmo ano iniciou um processo de especialização em treinamento infantil, além das categorias Juvenil e Adulto, assim, sendo convidado em 2015 a lecionar no Centro Português de Maringá, estado do Paraná, parceria esta que transformou a escola em um ambiente familiar voltado ao treinamento corporal baseado na defesa pessoal e na arte suave.";"https://evolucaojiujitsu.com/wp-content/uploads/2020/03/JiuJitsuFavIcon.png";;;;;;;"https://evolucaojiujitsu.com/#horarios";;"Cristyan Devanir Martins";;"cristyan_bernardino@hotmail.com";"https://www.facebook.com/Evolu%C3%A7%C3%A3o-Jiu-Jitsu-615737711795555/";"https://www.youtube.com/channel/UClwQiANk5-BV0qWP6aGKBeQ";"https://youtu.be/x-NOvlpff60";;0;;"CBJJ";;"BR";6758
"Gracie Barra Paranaguá";;" + 55 41 98482-2557";"Rua Prefeito Roque Vernalha, n. 309 (Comércio), Vila Paranaguá";"Paranaguá";"PR";;;"Brasil";;;;;;;;;;;"Rodrigo Fajardo";;"michellylima1410@gmail.com";"https://www.facebook.com/limachelly/";;;;0;;"CBJJ";;"BR";7329
"Dutra Jiu-Jitsu";"https://dutrajiujitsu.com.br/";" + 55 46 99922-6260";"Rua Argentina, 484, Jardim das Américas";"Pato Branco";"PR";"85502-040";;"Brasil";"Dutra Jiu Jitsu - Escola de artes marciais especializada em Jiu Jitsu, registrada na IBJJF e CBJJ, fundada em Junho de 2019. Contamos com profissionais capacitados , professores experiêntes para promover o a performance e o bem estar de seus alunos. Nosso comprometimento é entregar um serviço de 1ª qualidade, agregando ética, cidadania e profissionalismo. Oferecemos métodologia atualizada e ambiente acolhedor para a prática dos treinamentos.";"https://dutrajiujitsu.com.br/wp-content/uploads/2020/01/logo-2.png";;;;;;;;;"Plábito Silva Dutra";;"adm@dutrajiujitsu.com.br";"https://www.facebook.com/dutrajiujitsu/";"https://www.youtube.com/user/patodutra/";"https://youtu.be/UhSOACZ2Weo";;0;;"IBJJF, CBJJ";;"BR";6998
"Zych Jiu-Jitsu";;;"R. Araucária, 969-1085 - Santa Terezinha";"Pato Branco";"PR";"85501-160";;"Brasil";;;;;;;;;;;"Ricardo Zych Rodrigues";;;"https://www.facebook.com/ZYCHJIUJITSU/";;;;0;;"CBJJ";;"BR";7220
