"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations (0=Yes, 1=No)";"id";"NOTES"
"GT Brazilian Jiu-Jitsu";"https://www.gtbjjohio.com/";(330) 294-2600;"525 South Ave.";"Tallmadge";"OH";44278;;"United States";"The GT Brazilian Jiu-Jitsu Academy started in Tallmadge on May 5th, 2014, moved to Akron in 2016, and moved to the current location in Tallmadge in August of 2018. Head Instructors are Nova Uniao Black Belts, Todd Meighen and Gregory Hammerton. They were awarded their Black Belts from their longtime Instructor Eduardo ""Dudu"" Barros on May 6, 2013. The school was formerly known as the ""Dudu Barros Jiu-Jitsu Academy"". The name may be new, but the school has been around the Northeast Ohio area since the late 1990's. Eduardo ""Dudu"" Barros grew up in Brazil, and began training in Brazilian Jiu-Jitsu at 11 years old. He started at the Carlson Gracie Academy in Rio de Janeiro, Brazil,  training under the legendary Carlson Gracie Sr. He eventually began training with one of Carlson's top students, Andre Pederneiras. Eduardo received his Black Belt from Andre in 2005. Andre Pederneiras is the leader of the Nova Uniao Team in Rio. The Nova Uniao Team is home to former UFC Champions Jose Aldo and Renan Barao, and current Bellator Champ Eduardo Dantas. In 1997 ""Dudu"" relocated to the United States and created the Dudu Barros Brazilian Jiu-Jitsu Academy. The first school was located in his parents' basement. The school continued to grow over the years, and ""Dudu"" relocated the school several times throughout the Akron area. In early 2014, Eduardo decided that he wanted to pursue other interests in his life, and he decided to hand over the reigns of the Academy to Todd and Gregg. The Academy was renamed GT Brazilian Jiu-Jitsu with Eduardo's blessing. New name, new location, but the same great quality of instruction! Todd and Gregg are excited to continue Eduardo's hard work!";"https://static.wixstatic.com/media/dd8a29_1aaa4c7624a047318966508c8fbeb47e~mv2.jpg/v1/fill/w_582,h_166,al_c,q_80,usm_0.66_1.00_0.01/dd8a29_1aaa4c7624a047318966508c8fbeb47e~mv2.webp";"https://www.gtbjjohio.com/kids-bjj";"Aimed at kids ages 6-15 yrs old, the Brazilian Jiu-Jitsu Kids Program integrates physical education and self-defense technique with conditioning and skill-building games aimed at improving coordination, motor skills, agility and flexibility. Brazilian Jiu-jitsu is the only Martial Art that will teach your child practical and proven self-defense techniques that can work in real life situations, even against a larger or more physically strong aggressor. Unlike other Martial Arts like Karate or Tae Kwon Do, Brazilian Jiu-Jitsu advocates for minimal punches and kicks in self defense settings. This asset makes our martial art an ideal choice for children as it teaches the student to control the situation through grappling without the need for strikes. We will prepare your child to defend themselves against bullies, without turning them into one!";"https://www.gtbjjohio.com/female-strong";"Can Women learn Brazilian Jiu-Jitsu? Absolutely! Women can safely experience the benefits of learning Brazilian Jiu-Jitsu, even if they have little or no experience in sports or Martial Arts. As a Martial Art designed to allow the weaker to defeat the stronger, Brazilian Jiu-Jitsu is a perfect fit for women who are interested in learning how to protect themselves. Female Strong classes are designed to introduce women to the art of Brazilian Jiu-Jitsu in a fun, relaxed environment. Most Martial Arts classes are male dominated, and this can be intimidating for Women. Brazilian Jiu-Jitsu can be even more intimidating because of the close personal contact involved while learning the techniques. Women may feel uncomfortable training with a male, may be afraid of injury or they may feel so intimidated that they don't even want to try a class. However, seeing a class full of women training can be more inviting and put a beginner more at ease.  This allows females to accelerate their learning by training with other women, similar in size, and by eliminating some of the difficulties that beginner women face training with men. This class will empower Women to learn how to protect themselves, but it is also a great form of exercise. Brazilian Jiu-Jitsu students will notice an increase in flexibility, muscle strength, endurance, and general well being. Brazilian Jiu-Jitsu will change your life forever!";;;"https://www.gtbjjohio.com/schedule-and-rules";;"Todd Meighen";;"todd@gtbjjohio.com";"https://www.facebook.com/gtbrazilianjiujitsu/";;;;1;1103;
"Victory MMA Submission Fighting";"https://www.victorymmasubmissionfighting.org/";(330) 492-5277;"1002 30th St NW";"Canton";"OH";44709;;"United States";"Stark County's Premiere Martial Arts and Fitness Gym. Since 1991 we have offered training in Martial Arts (adults and children), Mixed Martial Arts, Self Defense, and Fitness. Visit our expansive gym conveniently located across from Giant Eagle Plaza.";;;;;;"MMA, Striking, Wrestling, Taekwondo, Boxing";"Adult  Classes (MMA, Jujitsu, Striking, Wrestling, Taekwondo) - $60.00 per month with a 1 year commitment,  $ 75.00 per month on a month to month plan, $ 10.00 per class for drop by mat fee; Kids Classes (Taekwondo, MMA, Jujitsu) - $60.00 per month! No contracts; Strong Blood fitness - strength and conditionng - $40.00 per month no contract; Strong Blood / private fitness - $20-$30.00 per session depends on how many sessions purchased; Private Training (Boxing, Jujitsu, MMA) - $30-$35.00hr depending on instructors available; Women's Self-Defense - SPECIAL RUNNING FOR NEXT 3 MONTHS - just $25.00 per month! ";"https://www.victorymmasubmissionfighting.org/schedule.htm";;"Rick Blackwell";;;"https://www.facebook.com/Victorycanton/";;;;1;1099;
"East Coast Martial Arts";"http://teameastcoast.com/";(330) 492-3434;"4665 Fulton Dr. NW";"Canton";"OH";44718;;"United States";"East Coast Martial Arts is a progressive martial arts studio with traditional values. At East Coast Martial Arts, every class begins and ends with a bow. This simple act of respect is the foundation of our school. From our humble beginnings in a garage over 25 years ago, to our current state of the art facility, we are still committed to developing leaders!";"http://eastcoastmartialarts.apps-1and1.com/wp-content/uploads/2015/03/header.png";"http://teameastcoast.com/programs/little-leaders-karate/";"Little Leaders Karate® is a fun, interactive program for children 3 to 5 years old.  Kids learn respect in one class! Our mission is to develop strong healthy children with confidence and leadership skills. Our ‘Steps To Success’ program will teach life skills to help your child succeed anywhere! In future lessons, they develop fitness and coordination. Kids focus on achieving short term goals in a positive environment. The benefits learned at Little Leaders Karate® last a lifetime!";;;"MMA, MMAFit, Kickboxing";;"http://teameastcoast.com/#section-160";"Mon, Wed: 9:15am-10:00am, 4:00pm-8:30pm; Tues, Thurs: 6:00am-6:45am, 4:00pm-8:30pm; Sat: 9:15am-2:15pm; Sun: 2:30pm-4:00pm";"Tiffany Hindman";;"teamecma@gmail.com";"https://www.facebook.com/TeamEastCoast";;;;1;1098;
"Limitless Brazilian Jiu-Jitsu & Fitness";"https://limitlessbjj.com/";(513) 275-6954;"2300 Florence Ave";"Cincinnati";"OH";45206;"5/5 Stars";"United States";"Limitless Brazilian Jiu-Jitsu is an affiliated Brazilian Jiu-Jitsu academy of the Vitor Oliveira Fight Team and the Grappling Fight Team (GFTeam). The lineage of our head instructor and of the association to which we belong descends from the Oswalda Fadda Brazilian Jiu-Jitsu lineage. We are one of the few lineages whose Jiu-Jitsu comes from the same time as the Gracie Families… but from a different family of Brazil. We are equally capable of our counterparts but descend from a different family of equally rich history and tradition. ";"https://limitlessbjj.com/wp-content/uploads/2018/07/LimitlessBJJ-logo-04.png";"https://limitlessbjj.com/kids-bjj/";"At Limitless BJJ, our Cincinnati Kids Brazilian Jiu Jitsu (BJJ) Classes are our fastest growing program. That’s because these kid-focused classes, with students’ ages ranging from 5 – 12, are the perfect mix of exercise, learning, and play. Our BJJ Kids Classes in Cincinnati are geared toward the fundamentals and core techniques of Brazilian Jiu Jitsu. After years of teaching children & young adults, we’ve developed a teaching style that is easily accessible & holds the class’s focus. Each student receives individual feedback & personal attention and are encouraged to progress at their own pace. Classes will allow optional free rolling for the more experienced students, but a typical Limitless BJJ Kids Class is just as likely to end with a game of tag or other fun activities.";;;"Muay Thai Kickboxing, Wrestling";;"https://limitlessbjj.com/schedule/";;"Robby Malof";;"infolimitlessbjj@gmail.com";"https://www.facebook.com/LimitlessTrainingLLC/";"https://www.youtube.com/user/robbymalof123/";"https://youtu.be/JGvv4fK0FxA";;1;1102;
"Hurricane Jiu Jitsu";"https://www.hurricanejj.com/";(216) 262-8468;"3328 Warren Road";"Cleveland";"OH";44111;"5/5 Stars";"United States";"Learn Brazilian Jiu Jitsu with the best in Cleveland. BJJ / self defense classes for adults and kids! Whether you train casually, frequently, or would like to become a serious competitor, Hurricane Jiu Jitsu has a class that will suit your needs. Our programs will help enable you to live a healthy lifestyle, gain flexibility, lose weight, and have fun during every class. Hurricane's head instructor John Lawrence has over a decade of experience in training, teaching, and competing in jiu jitsu. Still an active competitor, John teaches almost all of the classes at Hurricane and trains with his students on a daily basis. He believes in positivity, hard work, and achieving your personal best. This school's teaching philosophy is simple. Positive, detailed, custom instruction based on the needs of each individual student. You aren't required to fit the program. The program is required to fit you.";"https://images.squarespace-cdn.com/content/53ab1be8e4b02be9d97f91a3/1475407219299-D9JRLGM740ODPGZRDFYL/browser+logo.png?format=750w&content-type=image%2Fpng";"https://www.hurricanejj.com/kids";"We teach traditional Brazilian Jiu Jitsu (BJJ). It is a system of combat that focuses on takedowns, ground control, escapes, and submissions. No striking (kicks, punches, etc) is allowed. Our kids program focuses specifically on self defense and building confidence through overcoming obstacles in class.";;;;;"https://www.hurricanejj.com/schedule";;"John Lawrence";;"john@hurricanejj.com";"https://www.facebook.com/hurricanecleveland/";"https://www.youtube.com/channel/UChTeCyEK7a2ZP6AsV-H873A";"https://youtu.be/P62zaZaZhxc";;1;1101;
"Buckeye Jiu Jitsu";"http://www.buckeyejiujitsu.com/";(614) 563-0371;"1000 Morrison Rd., Suite A";"Columbus";"OH";43230;"5/5 Stars";"United States";"Buckeye Jiu Jitsu was started in 2014 in New Albany, Ohio. Professor Chris Larkin was invited to teach Brazilian Jiu Jitsu at Buckeye Crossfit & Krav Maga by a former training partner and friend John Lovins. In 2015 Buckeye Jiu Jitsu moved to a new bigger location in Gahanna, Ohio to accomodate our growth as a full fitness center. Our  6000 Sq. Ft. facility is filled with some of the newest strentgh and conditioning equipment and 1200 Sq. Ft. of  Zebra mats. Our goal is to provide our students a high level of attention and instruction and provide a safe and fun learning enviroment.";;;;;;"MMA, Muay Thai Boxing, Strength and Fitness Training";;"http://www.buckeyejiujitsu.com/class-schedule/";;"Chris Larkin";;"john@buckeyecrossfit.net";"https://www.facebook.com/BuckeyeBJJ/";;;;1;1086;
"Ronin Training Center";"http://www.ronintrainingcenter.com/";(614) 565-3787;"1012 W 3rd Ave";"Columbus";"OH";43212;;"United States";"Ronin Training Center is an innovative fitness company focused on the advancement of martial arts, self-defense and fitness in Central Ohio to create a culture for years to come. We will be running programs focused on men, women and youth with the goal of building a complete program for all customers. The company is comprised of likeminded entrepreneurs who are passionate about helping people understand what needs to be done to increase and/or preserve the values of martial arts, health and wellness and protecting yourself and loved ones while enabling ourselves to do the same. Our goal is to empower people to take health, wellness and safety to others driving a culture that benefits everyone. Ronin Training Center will use all instructor lead training to provide students with the confidence and tools to accomplish their goals. These instructors are not some college graduate who sat in a classroom to learn about fitness or a “mega gym” trainer who took a half-day course to be “certified”. We currently employ trainers that are professional athletes sharing their sport and their cultures to better the students and with Ronin Training Center’s plan to create a city by city culture for martial arts and fitness. These instructors range from a Professional UFC fighter, World Champion BJJ Black Belt, and Olympic Medalists and certifications from around the world in disciplines including Muay Thai, Kickboxing, Brazilian Jiu-Jitsu, and MMA. By using these athletes and a predefined program Ronin Training Center will be able to generate the demand for services much like the countries of the sports origin creating an overall culture in Central Ohio. Before you can get the people you must create a world class facility to bring the instructors. Ronin Training Center has built out a facility like no other in Central Ohio by bringing the necessities of Muay Thai, Karate, Brazilian Jiu-Jitsu, and so much more all under one roof. Our facility contains 3,000 square feet of dedicated training equipment from mats to punching bags, rowers and weights along with many day to day materials required by our instructors. This facility is also home to a full service locker room and pro shop meeting the needs of both our instructors and students.";"https://static.wixstatic.com/media/fd7f6e_10ea7a92aed348f8a49c1d2bdc0c8e53~mv1.png/v1/fill/w_128,h_50,al_c,q_80,usm_0.66_1.00_0.01/fd7f6e_10ea7a92aed348f8a49c1d2bdc0c8e53~mv1.webp";"https://bestsitesusa.wixsite.com/ronin/kids-jiu-jitsu-columbus";"It is a well-known fact that children need guidance in their life not only coming from their parents but also from an external source. We live in times which force parents to spend less time parenting and way too much worrying about the development and safety of their offspring. Sport classes are great for exercising and focusing the child’s attention but I believe that they fall short when compared to martial arts. The missing link in this case would be also covering the spiritual aspect – believing that both psychological and physical, can be strengthened simultaneously. Signing the youngsters in a form of martial art has been a go-to move for decades among the parental bodies in order to get some aid in the endeavor of raising capable men and women who one day will grow up to be valuable contributing members of our society. Ronin Training Center of Columbus Ohio respects all forms of martial arts. But we have found that Brazilian Jiu Jitsu and Judo have worked extremely well with children to teach them the basic important foundations for living in society: Respect. Discipline. Power. Control. And Humility. The main goal in this art is ALWAYS being aware and controlling the situation. Bjj prides itself on the usage of technique and leverage above everything. That is why it is called – “the gentle art”. The main concept is that you must shorten the distance between you and your opponent and initiate the clinch. Next you use various trips, throws and takedowns to bring the altercation to the ground. Once getting there, certain dominant positions and holds are used by the person versed in grappling to control the attacker. Generally speaking not many systems of self-defense allow the smaller and more times than not – the weaker person to subdue a larger opponent. As a result your child will not be thought to depend on size nor strength. Practitioners learn to defend themselves and control their opponent even without trading punches or using finishing holds that might get you in trouble with the school or the legal system. What you are doing is simply nullifying the potential of the other person inflict harm on you. In my opinion this is the ultimate anti-bullying tool. Having the opportunity to harm someone but choosing not to and making them aware of it. What is even better is that children learn all these attributes including balance, reflexes, flexibility and weight distribution while playing and having fun. Most academies form the teaching and sparring sessions in a form of a game so self-defense and play time are mixed in together in a very friendly environment. But I always say that if the only thing you learned out of your training in a combat sport is how to defend yourself and nothing more…you are clearly doing something wrong.";;;"Muay Thai, Krav Maga, Boxing, Judo, MMA";;"https://bestsitesusa.wixsite.com/ronin/class-schedule";"Mon-Fri: 9:00am-8:00pm; Sat: 9:00am-1:00pm; Sun: 11:00am-1:00pm";"Vitor Oliveira";;"info@ronintrainingcenter.com";"https://www.facebook.com/RoninTrainingCenter/";"https://www.youtube.com/channel/UCtJrm6RTtC21PEcQ35aXl5g";"https://youtu.be/2DyTVSYKE3g";;1;1090;
"Bushido Martial Arts";"https://www.graciebushido.com/";(614) 409-9784;"2859 S High St";"Columbus";"OH";43207;;"United States";;;;;;;"Karate";;"https://www.graciebushido.com/schedule";;"Tracy Hopkins";;"hopsbushido@sbcglobal.net";"https://www.facebook.com/Gracie-Bushido-152867681441386/";;;;1;1087;
"Relson Gracie Jiu-Jitsu Academy";"http://www.gracieohio.com/";(614) 890-2340;"6821 Flags Center Dr";"Columbus";"OH";43229;;"United States";"Since 1992, Relson Gracie Academy has been the source of the highest level of Gracie Jiu-Jitsu instruction in Central Ohio. Classes are taught in a non-traditional environment that focuses on fun, friendly interaction between student and teacher. Questions are encouraged. Our school’s motto is “As iron sharpens iron, so one man sharpens another.” We do not hold anything back technically from our students as we believe it would hinder our own development in jiu-jitsu.";"http://www.gracieohio.com/wp-content/uploads/2015/03/sunburstcolumbus-e1427067105389.png";"http://www.gracieohio.com/kids-programs/";"Gracie Jiu-jitsu is the most effective and at the same time most non-violent approach to self defense in the world.We teach our students how to utilize proper positioning, leverage and techniques to neutralize threats without violence. What your child will learn: Self confidence; How to deal with bully situations verbally; How to defend themselves if physically attacked; Respect; Discipline; Good Sportsmanship; Responsibility; Better physical fitness (balance, strength, agility, flexibility)";"http://www.gracieohio.com/womens-self-defense/";"Jiu-Jitsu for self defense is our main focus here at Gracie Ohio. Although we feel the best way for any one to learn is with the rest of the students in the fundamentals program, this class is an extension of the curriculum that allows women to train in a female only environment and deals with more specific situations that may be more common for women than men.";;;;;"Jeffrey Hudson";"10 Days for $10";"robin@gracieohio.com";"https://www.facebook.com/GracieOhio/";"https://www.youtube.com/user/gracieohio";"https://youtu.be/gB7prBZqjsQ";;1;1089;
"Carlson Gracie Columbus";"http://www.carlsongraciecolumbus.com/";(614) 203-5568;"792 Bethel Rd";"Columbus";"OH";43214;"5/5 Stars";"United States";"Here at Carlson Gracie Columbus Jiu Jitsu, we pride ourselves in offering the aggressive, attacking Brazilian Jiu Jitsu (BJJ) style pioneered by Carlson Gracie - one of the most widely recognized styles successful in real fighting applications. Whether your goal is self-defense, sport competition, or learning to grapple for MMA fighting, our program is perfect for you. Our small class sizes offer the most individual instructor attention for each student. We produce maximum increase in skill in the minimum amount of time.";;;;;;"MMA, Grappling, Striking";;;;"Brandon Willis";;"carlsongraciecolumbus@gmail.com";"https://www.facebook.com/Brandons-Gym-Carlson-Gracie-Columbus-Jiu-Jitsu-485611241575693/";"https://www.youtube.com/channel/UCeFQh78za5sg2iaJw7AKp9A";"https://youtu.be/_xzJGzanNDc";;1;1088;
