"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations (0=Yes, 1=No)";"id";"NOTES"
"Bloomington Combat Club";"http://bloomingtoncombatclub.com/";(309) 261-1172;"802 W Chestnut St";"Bloomington";"IL";61701;;"United States";"The Bloomington Combat Club has been formed with the sole purpose of discovering the athlete in each of us. We’re not in the business of making fighters; we want to train athletes. Whether you are a competitive fighter, or looking for a fresh new approach to improving your fitness, Bloomington Combat Club has a place for you.";;;;;;"Muay Thai, Advanced Muay Thai, Boxing, Advanced Boxing, MMA/Sparring, Grappling, Combat Conditioning";;"http://bloomingtoncombatclub.weebly.com/schedule.html";;;;;"https://www.facebook.com/Bloomington-Combat-Club-459157410823154/";;;;1;593;
"Chicago Mixed Martial Arts";"http://www.chicagomma.com/";(312) 646-0626;"1528 N Halsted St";"Chicago";"IL";60642;"5/5 Stars";"United States";"For the first time in history, the two top styles that redefined martial arts, Gracie Jiu-Jitsu and Sityodtong Muay Thai, have joined forces in Chicago. Over nearly 100 years, the Gracie family has developed a grappling-based fighting system that enables a person of average size and strength to defeat a much larger, much stronger opponent. Sityodtong Muay Thai kickboxing, the art of eight limbs, was founded in 1959 and continues to produce the most world champions in the history of the sport. To develop more complete martial artists with skills in grappling and striking, Chicago MMA now offers classes in both arts.";"http://static1.squarespace.com/static/550b0ab9e4b0ac96fe9860bf/t/55d69765e4b0b9bb40822ec0/1547304719912/?format=1500w";"http://www.chicagomma.com/youth-martial-arts-program";"Chicago MMA offers Chicago's most complete Mixed Martial Arts and Brazilian Jiu-Jitsu program for kids ages 4-5 and youth ages 6-9 and 9-13. The programs are designed to introduce students to martial arts in a fun and safe environment. Our instructors are trained to bring the best out of our students.";"http://www.chicagomma.com/womens-martial-arts-and-self-defense";"The women's martial arts program was created for women by women. The women's only class is focused on teaching authentic Muay Thai kickboxing and Brazilian Jiu-Jitsu for self-defense and fitness. Many students in the program are new to the sport, so it's designed to support beginners as well as the advanced.";"Muay Thai";"Adult Program Membership: MMA $179/month Month-To-Month Agreement, Grappling $149/month Month-To-Month Agreement, Kickboxing $149/month Month-To-Month Agreement; Adult Prepaid Memberships (Includes All Classes - Brazilian Jiu-Jitsu And Kickboxing): $400 3-Month Membership, $750 6-Month Membership, $1400 12-Month Membership, $5000 Lifetime Membership; Other Adult Membership Options: Basic Membership $99/month, Daytime-Only Membership $99/month, Women's Muay Thai Membership $50/month Four Classes A Month, $99/month Unlimited";"http://www.chicagomma.com/schedule";;"Brian Gassaway";"We offer free trials so that you can experience the gym first hand. We know you will love it!  No experience necessary. Beginners welcomed. ";;"https://www.facebook.com/ChicagoMixedMartialArts/";"https://www.youtube.com/channel/UCuhJmVfsQGhdnQlzEKz7MXg/feed";"https://youtu.be/MlHOGnY-r60";;1;570;
"Soul Fighters Chicago";"http://soulfighterschicago.com/";(312) 285-2203;"1531 W Chicago Ave";"Chicago";"IL";60642;"5/5 Stars";"United States";"Soul Fighters Chicago strives to provide world class quality Brazilian Jiu Jitsu to all of its students. Our goal is to remain dedicated and passionate about offering an opportunity to learn and grow the gentle art of BJJ, always in a safe, respectful and positive environment.";"http://soulfighterschicago.com/wp-content/uploads/2017/12/SFChicagoWebLogo_150px.png";;;;;;;"http://soulfighterschicago.com/schedule/";;"Andre Maneco";"Free Intro Session";;"https://www.facebook.com/andremanecobjjchicago";;;"Andre “Maneco” Leite: World IBJJF Championships: 2017 World IBJJF Championship (Gold), 2014 International Masters IBJJF Championships (Gold Medal), 2014 World IBJJF Championship (Silver Medal), 2013 World IBJJF Championship (Bronze Medal), 2012 World IBJJF Championship (Gold Medal); Pan-American IBJJF Championships: 2018 Pan-American IBJJF Championship (Gold Medal), 2017 Pan-American IBJJF Championship (Gold Medal), 2015 Pan-American IBJJF Championship (Bronze Medal), 2013 Pan-American IBJJF Championship (Silver Medal), 2012 Pan-American IBJJF Championship (Gold Medal), 2009 Pan-American IBJJF Championship (Silver Medal), 2004 Pan-American IBJJF Championship (Gold Medal); European Championships: 2017 European IBJJF Championship (Gold Medal), 2015 European IBJJF Championship (Gold Medal), 2014 European IBJJF Championship (Gold Medal), 2014 European (No-Gi) IBJJF Championship (Gold Medal), 2013 European IBJJF Championship (Gold Medal), 2012 European IBJJF Championship (Gold Medal); National IBJJF Championships: 2017 National IBJJF Championship (Gold Medal), 2017 National IBJJF (Absolute) Championship (Gold Medal), 2013 National IBJJF Championship (Gold Medal), 2013 National IBJJF (No Gi) Championship (Gold Medal), 2013 National IBJJF (No Gi-Absolute) (Silver Medal), 2012 National IBJJF Championship (Gold Medal), 2012 National IBJJF (No Gi) Championship (Gold Medal); BJJ-PRO IBJJF Championships: 2017 BJJ-PRO Championship (Gold Medal), 2017 BJJ-PRO (Absolute) Championship (Gold Medal), 2015 BJJ-PRO Championship (Gold Medal), 2015 BJJ-PRO (Absolute) Championship (Silver Medal), 2014 BJJ-PRO Championship (Gold Medal): Open IBJJF Championships:  2017 Atlanta Open Winter IBJJF Championship (Gold Medal), 2017 Atlanta Open Winter (Absolute) IBJJF Championship (Gold Medal), 2017 Chicago Open Summer IBJJF Championship (Gold Medal), 2017 Chicago Open Summer (Absolute) IBJJF Championship (Gold Medal), 2017 Chicago Open Spring IBJJF Championship (Gold Medal), 2017 Chicago Open Spring (Absolute) IBJJF Championship (Gold Medal), 2017 Chicago Open Spring (No-GI) IBJJF Championship (Bronze Medal), 2015 Chicago Open Summer (No-Gi) IBJJF Championship (Gold Medal), 2015 Chicago Open Summer (No-Gi Absolute) IBJJF Championship (Bronze Medal), 2015 Chicago Open Summer IBJJF Championship (Gold Medal), 2015 Chicago Open Summer (Absolute) IBJJF Championship (Gold Medal), 2015 Chicago Open Spring IBJJF Championship (Gold Medal), 2015 Chicago Open Spring (Absolute) IBJJF Championship (Gold Medal), 2014 Chicago Open Summer IBJJF Championship (Gold Medal), 2014 Rome Open IBJJF Championship (Gold Medal), 2014 Chicago Open Spring IBJJF Championship (Gold Medal), 2014 Chicago Open Spring (No-Gi) IBJJF Championship (Gold Medal), 2013 New York Open Spring IBJJF Championship (Gold Medal), 2013 Houston Open IBJJF Championship (Gold Medal), 2013 Chicago Winter (No-Gi) Open IBJJF Championship (Gold Medal), 2013 Chicago Winter Open IBJJF Championship (Gold Medal), 2013 Chicago Summer Open (No-Gi) Championship (Gold Medal), 2013 Chicago Summer Open IBJJF Championship (Bronze Medal), 2013 Chicago Summer Open (No-Gi Absolute) Championship (Gold Medal), 2013 Chicago Summer Open (Absolute) Championship (Gold Medal), 2012 Toronto Open IBJJF Championship (Gold Medal), 2012 Miami Open IBJJF Championship (Gold Medal), 2012 Chicago Open IBJJF Championship (Gold Medal), 2012 Las Vegas Open IBJJF Championship (Silver Medal), 2011 Las Vegas Open IBJJF Championship (Gold Medal), 2011 Chicago Open IBJJF Championship (Silver Medal); Arnold’s Championships: 2009 Arnold’s Championship (Silver Medal), 2009 Arnold’s “Absolute” Championship (Bronze Medal); Gracie Championships: 2008 Gracie National Championship (Gold Medal)";1;566;
"Redzovic Jiu-Jitsu The Loop";"https://chicagojiujitsu.com/";(312) 583-0244;"226 S Wabash Ave., 3rd Floor";"Chicago";"IL";60604;"5/5 Stars";"United States";"Redzovic Jiu-Jitsu is Chicago’s largest and most trusted academy for Gracie Brazilian Jiu-Jitsu. Its founders, Eddie, Adem and Idriz Redzovic have been certified to teach the art directly from Master Carlos Gracie Jr. Students choose Redzovic Jiu-Jitsu for its passionate community, quality instructors, convenient locations, and its commitment to teaching the whole art of Jiu-Jitsu, from self-defense to sport applications.";;"https://chicagojiujitsu.com/programs";"The R-Kids Program was created to provide children ages 5 to 13 with an environment that allows them to experience and understand core values like focus, discipline, persistence, cooperation and respect. R-Kids Program is divided into three age groups 5 - 7,  8 - 10 and 11-13. Our schools provide a very challenging, yet safe and caring environment for a child to mature towards character development and self defense skills. The outcome of continued childhood practice goes far beyond the accomplishments on the mats. The discipline and excellence demanded by our instructors often carries over to the child’s behavior at home and at school.";;;;;"https://chicagojiujitsu.com/downtown-loop";;"Eddie Redzovic, Adem Redzovic, Idriz Redzovic";"Free Class";"chicagojiujitsu@gmail.com";"https://www.facebook.com/ChicagoJiuJitsu/";"https://www.youtube.com/channel/UCMvcHANyZ5m7kVOyyDALfbg";"https://youtu.be/VPOcxSAQFRA";;0;577;
"Brazil 021 Chicago";"https://www.brazil021chicago.com/";(866) 977-7021;"1911 W Chicago Ave";"Chicago";"IL";60622;;"United States";"Brazil-021 School of Jiu-Jitsu seeks much more than winning competition medals. Our resolution is to promote health, well-being, self-confidence, and mental toughness in a safe, encouraging, and inspirational environment to properly prepare our students for all of the challenges of life.";"https://static1.squarespace.com/static/5bf443fc266c07b1080b16c6/t/5bf44fd64fa51a6514e33003/1552161025441/?format=1500w";"https://www.brazil021chicago.com/kids";"The Brazil-021 Kids Anti-Bullying Program is based on techniques of Brazilian Jiu-Jitsu and Self Defense. It is a confidence and character development program for kids and has been proven as an effective countermeasure to bullying. The Brazil-021 Kids Program was created to provide children ages 4-15 with an environment that allows them to experience and understand core values like focus, discipline, persistence, cooperation and respect. As a contact sport, Brazil-021 School of Jiu-Jitsu provides a very challenging yet safe and caring environment for a child to mature towards a real life champion.The outcome of continued childhood practice of Brazilian Jiu-Jitsu goes far beyond the accomplishments on the mats. The discipline and excellence demanded by the instructors often carries over to the child’s behavior at home and at school.";"https://www.brazil021chicago.com/women";"This class is excellent for people that are interested in learning martial arts in an environment exclusively for women.  As a self defense system few programs have proven themselves as well as BJJ.  The only way to be able to defend yourself is to regularly and consistently train the movements and techniques you will use. As a martial art designed to allow the weaker to defeat the stronger, BJJ is a perfect fit for women who are interested in learning how to protect themselves. The Brazil-021 Women’s BJJ Program combines a comprehensive self-defense curriculum with emphasis on drills that simulate realistic attack and escape situations. The techniques are complemented by a strong fitness component that is second to none compared to classes offered in regular gyms. Classes specially designed for women like Rape Prevention, BJJ Conditioning and others, taught by a Jiu-Jitsu world champion female Hannette Staack";;;"https://www.brazil021chicago.com/schedule";;"Andre Terencio, Hannette Staack";"Free Class";"info@brazil021chicago.com";"https://www.facebook.com/brazil021chicago/";"https://www.youtube.com/channel/UCE_eEsnLhhFnilD4bte7Rrg";"https://youtu.be/1IDDwm3mStk";;0;567;
"Vianna Brothers Brazilian Jiu-Jitsu";"https://viannabrothers.com/";(773) 696-0011;"2128 N Milwaukee Ave";"Chicago";"IL";60647;"5/5 Stars";"United States";"Technical. Detailed. Exceptional. These are the words that the students of the Vianna Brothers use when describing their style of Jiu-Jitsu. The Vianna Brothers are both black belts under Carlson Gracie Jr. and Marcelo Alonso. Both Daniel and Pedro have spent over 27 years of their lives studying the art of ground fighting. Their teaching style emphasizes attention to detail, using the body in the most efficient way possible, and physical fitness. With the growing popularity of mixed martial arts, Jiu-Jitsu is now being recognized as the world’s single most effective fighting style. Just a few benefits of studying Jiu-Jitsu include: Self confidence; Healthy weight loss; Reduced stress; Increased physical fitness; Increased flexibility; Cardiovascular health; Increased muscle tone; Better core strength. Change your life today and become part of our team. Whether you want to train for fun or for MMA / Brazilian Jiu Jitsu competition, we have a place for you.";"https://viannabrothers.com/wp-content/themes/viannabrothers2017/template-parts/images/vianna-brothers-jiu-jitsu-academy-logo.png";"https://viannabrothers.com/our-academy/kids-bjj/";"The kid’s classes are of separated into 2 classes. We have children from 5 to 9 years of age in one classes and 10 to 16 in the other and within those classes the students are divided based on age and skill level.";;;"Muay Thai, Judo, Boxing";;"https://viannabrothers.com/schedule/";;"Daniel Vianna";;;"https://www.facebook.com/viannabrothers/";"https://www.youtube.com/user/pedroviannabjjmma";"https://youtu.be/cMD64AC7DsU";;1;581;
"Jiu-Jitsu Institute";"http://www.jjichicago.com/";(312) 986-1541;"226 S Wabash Ave., 7th Floor";"Chicago";"IL";60604;;"United States";"The First Martial Arts School in the Midwest, first Judo & Jiu-Jitsu school. Since 1938 offering traditional Jiu-Jitsu and Judo instruction. Providing the Chicago Martial Arts and Olympic Judo community with top level Judo instructors from their native country Japan. Starting with Sense Tamura who passed To Sense Namba the current Shihan (head instructor) with Sense Hollis Barnett (6th Dan) as the Main Instructor.";"http://www.jjichicago.com/Judo.jpg";;;;;"Judo";;;;"Sense Namba";;"sense@jjichicago.com";"https://www.facebook.com/JJIChicago/";;;;0;575;
"Redzovic Jiu-Jitsu Lincoln Park";"https://chicagojiujitsu.com/";(773) 334-5189;"2442 N Lincoln Ave";"Chicago";"IL";60614;;"United States";"Redzovic Jiu-Jitsu is Chicago’s largest and most trusted academy for Gracie Brazilian Jiu-Jitsu. Its founders, Eddie, Adem and Idriz Redzovic have been certified to teach the art directly from Master Carlos Gracie Jr. Students choose Redzovic Jiu-Jitsu for its passionate community, quality instructors, convenient locations, and its commitment to teaching the whole art of Jiu-Jitsu, from self-defense to sport applications.";;"https://chicagojiujitsu.com/programs";"The R-Kids Program was created to provide children ages 5 to 13 with an environment that allows them to experience and understand core values like focus, discipline, persistence, cooperation and respect. R-Kids Program is divided into three age groups 5 - 7,  8 - 10 and 11-13. Our schools provide a very challenging, yet safe and caring environment for a child to mature towards character development and self defense skills. The outcome of continued childhood practice goes far beyond the accomplishments on the mats. The discipline and excellence demanded by our instructors often carries over to the child’s behavior at home and at school.";;;;;"https://chicagojiujitsu.com/lincoln-park";;"Eddie Redzovic, Adem Redzovic, Idriz Redzovic";"Free Class";"chicagojiujitsu@gmail.com";;"https://www.youtube.com/channel/UCdTJUHuGXPHvdUopvyK-70w";"https://youtu.be/0m04svF-k1A";;0;573;
"Carlson Gracie Brazilian Jiu-Jitsu Headquarters";"https://www.cgraciehq.com/";(312) 409-0566;"2778 N Milwaukee Ave";"Chicago";"IL";60647;;"United States";"Brazilian Jiu Jitsu is life-changing. Though we have more trophies than we can track,  we're not just about winning.  We are about helping you develop into the best version of yourself. We are about assisting you in pushing past your mental and physical boundaries to accomplish goals you wouldn't have dared to reach for on your own. We are about lifetime bonds, eternal memories and self-motivated growth. We carry on Carlson Gracie Sr's legacy of authentic style BJJ, family, tough love, kindness, and humility.";;"https://www.cgraciehq.com/parents-of-kids-bjj";"Join all the other parents who have discovered the best way to teach their child habits of discipline, exercise, respect, social interaction and knowledge of self-defense in a safe, friendly, family-oriented environment. You can drop your kids off and or sit on our couch and watch. All Carlson Gracie Kids BJJ Instructors have passed a thorough background check before becoming an Instructor. ";;;"Muay Thai, Wrestling";"BJJ Clases: 1 Month No Contract = $180.00. 6 Month Contract = $150.00 x 6  =  $900.00; Muay-Thai Classes: 1 Month No Contract = $150.00, 6 Month Contract = $125.00 x 6  = $750.00; BJJ Kids Program: 1 Month No Contract = $140.00, 6 Month Contract = $120.00 x 6 = $720.00; BJJ & Muay-Thai Package: 1 Month No Contract =  $240.00, 6 Month Contract = $200.00 x 6 = $1,200.00; Visitors- No Members: 1 Day BJJ/MT = $30.00, 1 Week BJJ/MT = $125.00, 2 Weeks BJJ/MT = $200.00";"https://www.cgraciehq.com/copy-of-class-schedule";"Mon, Wed, Fri: 6:30am-9:00pm; Tues, Thurs: 8:00am-9:00pm; Sat: 9:30am-12:00pm; Sun: 11:00am-12:00pm";"Carlson Gracie Jr.";"Free Class";"info@carlsongraciefederation.com";"https://www.facebook.com/CarlsonGracieHQ/";"https://www.youtube.com/user/CarlsonGracieJr";;;1;568;
"Rio Jiu Jitsu Academy";"http://riojj.com/";(773) 463-8000;"3718 W Irving Park Rd";"Chicago";"IL";60618;;"United States";"Learn from the best Jiu Jitsu instructors in the Chicago area who are dedicated to providing a stable, friendly environment where you can excel in your personal goals and find a varied and supportive community. Whether your plan is to compete, lose weight, meet new like-minded people or increase your day-to-day life, we will help you get there faster than you ever thought possible while having fun doing it! The benefits of our Martial Arts programs are endless. From confidence and self-esteem to discipline and empowerment, whether you're enjoying our Kids Martial Arts and Jiu Jitsu classes or our Adult programs, you'll start seeing improvement in mind, body, and spirit in only a few short classes.";"https://res.cloudinary.com/display97/image/upload/q_auto,fl_lossy,f_auto/25029.png";"http://riojj.com/classes/Kids-Martial-Arts";"RIO's Kids Martial Arts, Jiu Jitsu and Bully Proof program will help your child mature into an emotionally and physically strong, capable, responsible adult. The self-defense techniques of jiu-jitsu are specially designed to help children grow physically and mentally strong. We provide a fun, friendly and positive environment so that children feel comfortable and learn valuable life lessons. Our specialized Jiu-Jitsu training is designed to help kids, irrespective of their current abilities, weight or gender.";"http://riojj.com/classes/Women's-Self-Defense-Seminars";"When it comes to protecting yourself and loved ones, Jiu Jitsu is equally effective for both men and women. In this day and age, people must stay alert and be prepared to defend themselves at a moment's notice. The good news is that RIO Jiu Jitsu has a special Self-Defense program for women only. Although women may not typically be able to match men physically, those who know how to utilize effective fighting techniques that rely on leverage and proper body mechanics, as opposed to brute force, will be able to overcome larger and stronger individuals. While many personal protection devices such as pepper spray, stun guns and so on are available, the best way to cope with life's threats is to develop a killer instinct, grace under pressure and confidence that people notice. The most important self-defense technique is recognizing danger and avoiding it. It is also critical to appear alert, healthy and confident, to avoid appearing vulnerable. Training at RIO Jiu Jitsu Academy instills true and well-deserved confidence in those eager to learn. Take control of your self-confidence and learn to unlock the power of your body and mind at RIO Jiu Jitsu Academy.";;;"http://riojj.com/Home/Schedule";;"Pete Letsos";"First class is FREE!";"info@riojj.com";"https://www.facebook.com/riojiujitsuchicago";"https://www.youtube.com/user/PTGRIOJJ/";"https://youtu.be/YNNRD9Cua_Q";;1;578;
