"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations (0=Yes, 1=No)";"id";"NOTES"
"Combat Fitness";"http://maxcombatfitness.com/";(925) 934-9898;"981 Bancroft Rd";"Concord";"CA";94518;;"United States";"Combat Fitness offers only the best in training, fitness and conditioning programs, dedicated to helping you achieve all your fitness goals! Taught by our passionate and professional coaching staff, we offer classes specializing in Muay Thai, Brazilian Jiu-Jitsu, Cardio Boxing, Strength & Conditioning, and more! Our classes cater to men, women, and children of all experience levels. Join us in Concord and get more from your routine.";"https://res.cloudinary.com/display97/image/upload/q_auto,fl_lossy,f_auto/new-logo-110851.png";"http://maxcombatfitness.com/classes/Kids-Martial-Arts";"At Combat Fitness, we know how important your child's development is to their success in life. That's why we go above and beyond in our Kids Martial Arts program to offer the best blend of mental, physical, and emotional growth to students across Concord. Our Kids Martial Arts program is high-energy fun. But it also offers vital character skills that simply can't be taught in a classroom. ";;;"Muay Thai, Fitness Boxing, Krav Maga, Personal Training";;"http://maxcombatfitness.com/Home/Schedule";;;;"tntwc98@yahoo.com";"https://www.facebook.com/combatfitnessconcord/";;;;1;274;
"Pacific Top Team Academy";"https://www.jiujitsucorona.com/";(951) 662-0162;"210 Dupont St";"Corona";"CA";92879;"4.2/5 Stars";"United States";"Pacific Top Team Martial Arts Corona offers world-class Brazilian Jiu-Jitsu instruction (BJJ) for men, women, and children in a friendly environment. Focused on the art of Brazilian Jiu-Jitsu, popularized by the Gracie family, we consider our academy a family more than a business. Focused on each student individually, we'll help you understand the art and science of leverage which is the basis for BJJ. We ensure students of all levels receive professional instruction and attention. We offer classes for both adults and children. Our mission is to help you achieve your goals, whether they are primarily for self-defense, competition, fitness, or weight loss.";"https://static1.squarespace.com/static/591ce4bdbf629a201c7566e4/t/5be362bbb8a045b3858c0bdf/1542587241889/?format=1500w";"https://www.jiujitsucorona.com/kids/";"Did you know that Martial Arts is 10 times better than Team Sports in developing a child's self esteem and confidence? Our program can and WILL help your child increase their focus and discipline, While teaching them life skills that will last them a lifetime and much more. ";"https://www.jiujitsucorona.com/women-only/";"Designed for women, this class teaches basic BJJ techniques and practical self-defense skills. Learn Fundamental Takedowns, Position Controls, Position Escapes, and Submissions in a safe and friendly enviroment and leave feeling stronger and more empowered than ever.";;;;;;"Brazilian Jiu-Jitsu & Fitness Classes for 30 Days Free";;;"https://www.youtube.com/channel/UCp9j98anFAcbABkRlZV9QRQ";"https://youtu.be/ubOWQC3pvWg";;1;173;
"UFC GYM South Corona";"https://ufcgym.com/";(951) 547-0166;"265 E Ontario Ave";"Corona";"CA";92879;"5/5 Stars";"United States";"UFC GYM South Corona, located on the corner of S. Main St. & E. Ontario Ave., offers classes for every fitness level. Whatever your fitness goals are: lose weight, increase strength, sports conditioning, we have daily classes including boxing, kickboxing, functional training, youth programs, Brazilian Jiu-Jitsu & personal training to help you reach those goals.";"https://d18e80b7izstoq.cloudfront.net/assets/ufc-logo-14f1ed1f21b513547404107567394719.svg";"https://ufcgym.com/classes/youth-brazilian-jiu-jitsu-gi";"Students will learn that there is a time and a place for martial arts training. The program integrates; self-defense techniques, conditioning and skill oriented games aiming to improve your child’s motor skills, agility and flexibility. Youth BJJ is a fun class for youth that teaches discipline and helps build confidence.";"https://ufcgym.com/classes/womens-brazilian-jiu-jitsu-gi";"Designed for women, this class teaches basic BJJ techniques and practical self-defense skills. Learn Fundamental Takedowns, Position Controls, Position Escapes, and Submissions and leave feeling stronger and more empowered than ever.* 50 mins.";"Daily Ultimate Training; Kickboxing; MMA; Fight Fit ";"$15 for 15 Days: 15 Day Access to All Membership Benefit, Unlimited Group Classes, Unlimited Access to Strength & Cardio Equipment, $15.00,  Plus taxes, where applicable. Limited to one purchase per customer.; Fitness: 24/7 Club Access, Unlimited Access to Strength & Cardio Equipment, Group Fitness Studio Classes (Select Clubs Only), $49.00/month, Price breakdown - First month $49.00, Last month $49.00, Registration fee $98.00 . Plus taxes, where applicable. Annual enhancement fee of $49.00 for facility updates will be billed in the third month of your membership. Ultimate: Unlimited Club Access 7 Days a Week,  Ultimate Level Group Classes like MMA and Circuit Classes, Complimentary Kids Club where available, $74.00/month, First month $74.00, Last month $74.00, Registration fee $98.00. Plus taxes, where applicable. Annual enhancement fee of $49.00 for facility updates will be billed in the third month of your membership. Champion: Worldwide Club Access, Unlimited Ultimate Level Group Classes and Group Fitness Classes, Complimentary Kids Club Where Available, $99.00/month, First month $99.00, Last month $99.00, Registration fee $74.00.";"https://ufcgym.com/southcorona/schedule";"Mon-Fri: 4:00am-11:00pm; Sat, Sun: 6:00am-8:00pm ";;;"Emed.Chouri@ufcgym.com";"https://www.facebook.com/groups/122684524573217/";;;;0;175;
"No Borders BJJ";"https://www.nobordersbrazilianjiujitsu.com/";(714) 334-1399;"2780 Cabot Dr #165";"Corona";"CA";92883;"5/5 Stars";"United States";"Brazilian Jiu Jitsu is a martial art that focuses on grappling and ground fighting. It benefits those that know the technique; indifferent of strength, size, age, and gender. At No Borders, it is our goal to teach our students discipline, self-confidence, and perseverance. We focus on teaching techniques that promote self defense for every day situations. Jiu Jitsu not only creates a great fighter but builds character";"https://static.wixstatic.com/media/bd18dc_72378633970e4a85918afa7ce9882def~mv2.jpeg/v1/fill/w_598,h_120,al_c,q_80,usm_0.66_1.00_0.01/logo.jpeg";;;;;;;"https://www.nobordersbrazilianjiujitsu.com/schedule";;;;"NoBordersBrazilianJiuJitsu@gmail.com";"https://www.facebook.com/No-Borders-bjj-565073823669455/";;;;1;172;
"Gracie Barra Corona Brazilian Jiu-Jitsu Martial Arts";"http://www.coronabjj.com/";(951) 505-1441;"280 Teller St #100";"Corona";"CA";92879;"5/5 Stars";"United States";"Welcome to Gracie Barra Corona,Brazilian Jiu-Jitsu Leader in the Inland Empire and proud part of the network of over 700 schools worldwide that make up the Gracie Barra legacy. Since 2007, we have been providing self-defense instruction in the Art of Brazilian Jiu-Jitsu to men and women of all ages, and to kids 3 years old and up. Participating in our program is a great way to learn a practical and proven system of self-defense, get in top physical condition and develop life changing levels of self-confidence and awareness. Join us and learn The Worlds Most Effective System of Self Defense Taught in a Safe, Fun and Family Friendly Environment! Great Fun for the Whole Family! Improve your health, stamina & lose weight. Fun and exciting way to meet new friends. Family Discounts! Increased Flexibility. Tremendous Self-Confidence Builder. Kids learn respect, discipline and the importance of teamwork";"https://graciebarra.com/corona-ca/wp-content/uploads/sites/99/2018/01/GracieBarraCoronaCA-logo.png";"https://graciebarra.com/corona-ca/kids-teens-programs/";"Children and teens of all skill levels and abilities will benefit from Jiu-Jitsu classes at Gracie Barra Corona. Our GB Kids Program is designed to teach children self-discipline as well as providing a unique way to express themselves. Our instructors are trained to interact and offer gentle correction for children and teens who practice the art of Jiu-Jitsu. Children over the age of three can begin their training at any of our 700 Gracie Barra Schools, experiencing the true power of brotherhood and integrity. Our GBK program is structured similarly to adult courses, with adaptations and modifications made to reach the different age ranges in the class. Jiu-Jitsu classes for children begin with the building blocks that are needed to teach the fundamentals of Jiu-Jitsu. We have developed a curriculum that is structured in a way that shows children and teens the value of routine, cooperation and self-awareness";;;;;"https://graciebarra.com/corona-ca/our-school/#schedule";"Mon-Fri: 9:00am-9:30pm; Sat: 9:00am-2:00pm; Sun: 10:00am-8:00pm";;;;"https://www.facebook.com/coronabrazilianjiujitsu/";;;;1;171;
"ATC Martial Arts";"https://atccorona.com/";(951) 520-0200;"281 Dupont St #103";"Corona";"CA";92879;;"United States";"When you join American Taekwondo Centers, you become part of our family! We are a community based school that respects the traditions of martial arts.";;"https://atccorona.com/homeschool";"Our homeschool classes are actually integrated into our regular classes. Your child will be participating in warm up exercises, safety factors of martial arts, basic stances, punches, blocks, kicking techniques, self defense and poomse (forms). Along with all the physical factors of martial arts, we also focus on discipline & respect. There are rules that are required to be followed along with rewards for following them.";;;"Taekwondo; Hapkido; Gumdo; Gymnastics";;"https://atccorona.com/jiu-jitsu";"Mon-Thurs: 2:00pm-8:00pm; Fri: 2:00pm-6:00pm; Sat: 9:00am-12:00pm";;"Free week trial";;"https://www.facebook.com/ATC-Corona-Info-Page-183655771736842/";;;;1;167;
"9ROUND";"https://www.9round.com/";(951) 808-9896;"330 W Foothill Pkwy";"Corona";"CA";92882;"5/5 Stars";"United States";;;;;;;;;;;;;;;;;;0;165;"No BJJ Classes"
"USKO Corona Studio";"http://uskotraining.com/";(951) 734-8002;"351 Corporate Terrace Cir";"Corona";"CA";92879;;"United States";"USKO has been the school of champions since 1972! We are proud to offer different programs to be able to reach the individual goals of our students in just one location. We are focusing on employing the highest quality instructor’s and supplying them with all the tools and teaching skills to help develop the students to the best of there abilities. Through the whole organization we show family values of respect, self-discipline and self-confidence to members and competitors alike. Joining USKO is equivalent to joining a martial art’s family!";"http://uskotraining.com/wp-content/uploads/2014/02/header_logo.png";"http://uskotraining.com/about-usko/";"Our U.S.K.O. Programs for children are second to none. Well-planned curriculums, and instructors who have many years experience working with children, join together in a winning combination. Helping your child learn to set, stick with, and achieve reasonable goals is one of the things we do best! We’ll share in the pride you’ll feel as your child becomes more self-confident, and more self-disciplined. As your child learns the principles of self-respect, and respect for others, you’ll understand why U.S.K.O. training is so important in developing the qualities of leadership, personal responsibility, and strength of character. Our U.S.K.O. training programs are “self-esteem boosters”, giving your child the competitive edge needed to succeed at home, in the classroom, and in life.";"http://uskotraining.com/about-usko/";"With the problems in today’s society, more women than ever before are training with U.S.K.O. The self-defense techniques taught are proven effective an are easily learned by women of any age. Be assured, you don’t have to be a muscle-bound athlete to be effective in defending yourself – size has very little to do with it, knowing what to do makes all the difference!";"Karate, Muay Thai Kickboxing, Fitness Kickboxing, Fitness Bootcamp; Personal Training; Video Training";;"http://uskotraining.com/corona-schedule/";;"Joe Pagliuso, Sandra Pagliuso";"1 free trial class offer with SignUp!";;;;;;0;177;
"Fudo Shintai Aikido";"http://www.fudoshintaiaikido.com/";(951) 201-8358;"502 S. Vicentia";"Corona";"CA";92882;;"United States";"Elise and Robert Simmons laid the foundation of this school in the late Fifties. From 1958 to 1966 Bob and Elise worked with then famous martial artist and author, Bruce Tegner in Hollywood, CA. In 1964 they formed Simmons Martial Arts offering institutional and private instruction, a tradition that carries through to this day. In 1966, they brought it to Corona, working with the Parks and Recreation Department. This allowed them to offer high quality, low cost training to the citizens of Corona. They also opened The UC Irvine Aikido Club. Robert and Elise named the school in Corona Chisai Raion, teaching Judo and Jujutsu, Yoseikan Aikido, and a mix of Shotokan and Kenpo Karate. 1967 was the year that Chisai Raion officially joined the Aikikai under the direction of Koichi Tohei, head instructor at the Hombu Dojo in Tokyo. In 1968 Kendo and Iaido were added to the curriculum. Chisai Raion aligned their instruction with Takemusu Aikido in 1976. This follows Morihito Saito’s instruction at the Iwama Dojo. Iwama dojo, one of the oldest Aikido Dojos, is where O’sensei resided, spending the last 27 years of his life. In 1983 Robert Simmons began to reviewed his body of knowledge in all of these disciplines and decided to codify them into a style that would become Enmeikan or Clear Circle School. It took 10 years to distill his knowledge, and in 1993 Chisai Raion became Enmeikan. In 2000, Robert decided to retire from active instruction with Enmeikan Aikido. The Corona dojo was released to two of his best students, Dr. Thomas Van Cise and Terry McCarthy. A new name was required and Tom and Terry formed Fudo Shin Tai or Immovable Mind and Body Aikido starting in 2001. The curriculum was mostly Aikido and Aikido weapons practice. The caveat, was that the techniques had to be effective in the street. Sensei Elise stayed on as a consultant to the school. 2006, January 16th to be exact, we lost Sensei Robert Simmons at the age of 69. Four years later in December of 2010, we lost Sensei Thomas Van Cise. Sensei Terry McCarthy became the head instructor at the school 2011. His extensive background in martial arts, law enforcement and military service, is shaping the school to what it is now. The last three years, Fudo Shin Tai Aikido has embraced techniques from Judo, Jujutsu, and Yoshinkan Aikido. Demonstrations have been held for the school in Escrima, Pencak Silat and Lima Lama. Sensei Elise, our founder and curriculum consultant, still attends and instructs, both in Aikido and in a womens' self-defense class in our dojo. Both Sensei Elise and Sensei Terry have been available for private instruction. For five decades, thousands of students, young and old, male and female, from construction workers to congressmen, this school had taught them all. So now you know a little about us; let us know a little about you. Onagaishimatsu! “Do me the honor of practicing with me!”";;"http://www.fudoshintaiaikido.com/classdescription%26registration";"Learn how to control an attack with a twist of the hips and a wave of the hand. Students will develop confidence in themselves while developing mental and physical skills that will enable them to remain in control of any situation, even if the assailant is an adult. White Gi’s (martial art uniform) may be worn but not required. Wear comfortable clothing. Parent or guardian must attend the first class.";"http://www.fudoshintaiaikido.com/classdescription%26registration";"This class Begins March 24th.. The cost is $40 for Corona residents and $50 for non-residents. Taught by Sensei Terry McCarthy and Sensei Elise Simmons, this class uses a  realistic approach to women's self defense which is based upon street proven techniques used by police and military around the world. This class is Aikido based, so size and strength do not matter, just technique. Students are encouraged to bring a friend.";;;"http://www.fudoshintaiaikido.com/calendar";;"Terry McCarthy";;"info@fudoshintaiaikido.com";;;;;1;170;"No BJJ Classes"
"All American Karate School";"https://www.karateincorona.com/";(951) 736-0635;"405 Corona Mall";"Corona";"CA";92879;;"United States";"""Be better than you were before."" That's our motto. The words by which we live. What we instill in each of our students. Whether for yourself or your child, we are here to help you learn and develop the self-control, self-discipline, and self-confidence you have always desired. There's no better time to start than now.";"https://static1.squarespace.com/static/52f2eb4de4b0fd875877356d/t/568d869fb204d5990c9be752/1542310111469/?format=1500w";;;;;;;"https://static1.squarespace.com/static/52f2eb4de4b0fd875877356d/t/5bac1fef7817f74e6d5bf01d/1538007023171/class_schedule_09%3A26%3A18.pdf";"Mon, Tues, Thurs, Fri: 3:30pm-8:00pm; Wed: 3:30pm-9:00pm; Sat: 9:00am-1:00pm";;"$59 is all you need to get started on your martial arts path. Our New Student Special covers everything you need, including: The tuition for your first month of training; Your own personal karate gi and belt; All necessary sparring equipment";"allamericankarate1@gmail.com";"https://www.facebook.com/karateincorona";;;;0;166;"No BJJ Classes"
