"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations (0=Yes, 1=No)";"id";"NOTES"
"Crabapple Martial Arts Academy";"https://www.crabapplemartialarts.com/";(770) 802-2216;"12315 Crabapple Rd., Ste. 124";"Alpharetta";"GA";30004;"3.66666666667/5 Stars";"United States";"Crabapple Martial Arts Academy is the premier training facility for new and experienced martial artists in the Alpharetta area. We offer a blend of traditional martial arts training in both Karate and Jiu Jitsu with a modern approach to health, character development, and self-defense training. Our professional and uniquely qualified staff is eager to help you meet and exceed your health, fitness, and self-defense goals.";"https://www.crabapplemartialarts.com/wp-content/uploads/2017/05/logo.png";"https://www.crabapplemartialarts.com/kids-martial-arts/";"At Crabapple Martial Arts Academy, we believe in whole body wellness. Our goal is to provide self-defense training and physical conditioning in a focused and disciplined environment. Our Kids Martial Arts program promotes the time honored principles of respect, discipline, perseverance, self control, and integrity. Kids Martial Arts in Alpharetta, results in a healthier body, a calmer spirit and a more focused mind, which provides our children with the proper tools to succeed as teenagers and adults. Parents are raving about how much their children have gained from our Kids Martial Arts program. Our one of a kind character building programs helps children become more confident, focused, raise their self-esteem, and improve grades. Kids Martial Arts in Alpharetta is sure to give your kids a great workout while stressing awareness, the ability to focus on the task at hand and respect for themselves and others. Our children's program is divided by age and experience level, giving each child the individual attention they deserve and our schedule allows for unlimited class attendance.";"https://www.crabapplemartialarts.com/womens-self-defense/";"Women’s Self Defense in Alpharetta will teach you self-defense skills that take minutes to learn and seconds to apply. Crabapple Martial Arts Academyâ€™s Womenâ€™s Self Defense Workshops are reality-based, incorporating practical, easy to remember techniques for physical resistance in case of an assault. Our Womenâ€™s Self Defense Workshops have their foundation in education and awareness. The course includes lecture, discussion and self-defense techniques suitable for women of all ages and fitness levels. This three level workshop focuses on situational awareness, empowerment, and decisive action, including evasive movements, striking, and joint locks. Each Self Defense Workshop has each participant practicing the techniques until they become second nature. These skills do not require athletic ability to master and are appropriate for women of all ages, with minimal physical fitness levels. A question and answer period is reserved at the end of each workshop to get your input and specific concerns that may come up in the course.";"Karate";;"https://www.crabapplemartialarts.com/martial-arts-schedule/";"Mon-Thurs: 3:00pm- 9:00pm; Sat: 8:00am-1:00pm";"C. Matthew White";"30 Day Free Trial!";"office@crabapplemartialarts.com";"https://www.facebook.com/CrabappleMartialArtsAcademy";"https://www.youtube.com/user/CrabappleMartialArts";"https://youtu.be/ZtSs8__pr1U";;1;522;
"J3 Academy & Fitness";"http://www.j3academy.com/";(770) 369-7442;"13695 Highway 9 North #105";"Alpharetta";"GA";30004;"5/5 Stars";"United States";"J3 Academy and Fitness is designed to fulfill your fitness needs. Our trainers and instructors have a vast variety of experience in fitness, martial arts, and competition preparation. The goal of J3 is to offer a welcoming, comfortable, family-oriented environment for you to workout, begin or continue your study of Gracie Jiu-Jitsu, learn about personal safety, and empower you to accomplish your personal fitness goals. We will work closely with you to accommodate special needs or individual requirements. Whether you have no martial arts experience or you are a professional fighter, we have classes for you. We are a small, personal facility where you will become part of our family. Our gym services Milton, Roswell, Alpharetta, Atlanta, & the greater Atlanta area.";"http://www.j3academy.com/wp-content/uploads/2016/09/j3-logo.png";"http://www.j3academy.com/#section3";"The focus of the J3 youth program is respect, confidence-building, and discipline, along with fun, of course. Gracie Jiu Jitsu teaches skills to handle all situations children might encounter in a defensive and non-violent manner. Students will learn real-life situations and how to handle a variety of challenges. Safety, respect and personal responsibility are top priorities in all classes. Our goal is to empower our children and teens to become confident and strong, both physically and mentally.";;;"Aikido, Judo, Muay-Thai/Kickboxing, Cardio Training Program/Fitness";;"http://www.j3academy.com/#section4";;"Jamie Williams";;;"https://www.facebook.com/AcademyJ3Fitness";"https://www.youtube.com/channel/UCuAzBeanxmFgZtHaROLB8qw";"https://youtu.be/y6-MQ0ZY3BM";;1;523;
"Total Boxing";;(678) 381-1139;"2880 Holcomb Bridge Rd";"Alpharetta";"GA";30022;"5/5 Stars";"United States";;;;;;;;;;;;;;;;;;0;529;"Closed"
"The Dojo Abbotts Bridge";"http://abbottsbridgedojo.com/";(678) 417-7780;"5075 Abbotts Bridge Road # 200";"Johns Creek";"GA";30005;;"United States";"Learning a martial art can be the memorizing of moves, but at The Dojo American Karate Center we focus on teaching our students much more. Martial arts is, in some respects, a way of life. We do not mean that certain individuals earn a living from being in matches or teaching. Martial arts is a way of life because it practices mindfulness. When you practice a strike, a throw, or an exercise, the goal is to understand your body and be one with the movement. Eventually the goal is to, in time, be completely present in the moment and learn how to bring out that amount of centeredness when you need it. All the stresses in your life become much more manageable when you know how to find your center and understand that you have the mental tools you need to overcome the problem.";"http://abbottsbridgedojo.com/wp-content/uploads/sites/2609/2015/12/mid-logo.jpg";"http://abbottsbridgedojo.com/martial-arts-classes/child-classes/";"Children need lots of activity to use all the energy they have and grow up healthy and strong. But learning a martial art is much more than that. It also starts a child on a lifelong path of enjoying physical activity in a positive atmosphere. A lack of physical activity is a problem that adults and children face not only in Johns Creek but throughout the country, and it is one of the main causes of obesity and deteriorating health in our society. To counteract the issue of poor health, we need to get people motivated and enjoying being active. This is one of the primary focuses The Dojo American Karate Center has when engaging with our students, especially the younger ones. We make every effort to ensure our classes as engaging as possible for the young people of Johns Creek, so that they will pick up the skills and attitude that will make their lives easier and more rewarding. The Dojo American Karate Center organizes its martial arts classes for children around the idea that different children learn in different ways. We use a variety of different teaching techniques to help our students remember what we teach them, because the faster they learn the faster they can move forward.";;;;;;"Mon-Fri: 12:00am-8:30pm, Sat: 8:30am-12:30pm";"Seth Schilke";;"AbbottsBridge@TeamDojo.com";"https://www.facebook.com/AbbottsDojo/";;;;0;527;
"Ascension MMA & Fitness";"https://ascensionmma.com/";(678) 459-8116;"4020 Nine McFarland Dr";"Alpharetta";"GA";30004;"5/5 Stars";"United States";"Ascension Mixed Martial Arts is a way of life.  It's a revolutionary style of Martial Arts, that combines years of experience in Brazilian Jiu-Jitsu, Grappling, Wrestling, Striking and Capoeira as well as Circuit Training and Conditioning all built on the foundation of family. All our instructors have been in Martial Arts for a life time.  Our goal is to not only pass down years of training to the next generation, but to also build the next generation of leaders through discipline of the mind and body, while building confidence, and teaching respect towards others.";"https://img1.wsimg.com/isteam/ip/94d1928c-7f39-461c-88f8-4dbe216522b9/5f41a34b-388a-4aab-87d5-fe80cee2fc2e.png/:/rs=w:1136,h:568,cg:true,m/cr=w:1136,h:568";;;;;"Mixed Martial Arts, Conditioning";;"https://ascensionmma.com/schedule";"Mon, Wed: 8:30am-9:00pm; Tues, Thurs: 7:30am-9:00pm; Fri: 9:00am-6:00pm; Sat: 9:30am-12:00pm";"Junior Assuncao";;"junior@ascensionmma.com";"https://www.facebook.com/Ascensionmmafitness/";;;;0;521;
"Kokoro Tatsu Martial Arts and Fitness";;(404) 237-5007;"1190 Tidwell Dr., Suite 30004";"Alpharetta";"GA";30004;;"United States";;;;;;;;;;;;;"judocise@gmail.com";"https://www.facebook.com/Dr.Judo/";;;;1;526;
"KBX Gym";;(770) 777-0845;"5670 Atlanta Hwy, Suite A-2";"Alpharetta";"GA";30004;"5/5 Stars";"United States";;;;;;;;;;;;;;;;;;0;524;"Closed"
"Union Team BJJ";"https://www.unionteambjj.com/";(770) 401-5631;"5925 Atlanta Highway, Ste 400";"Alpharetta";"GA";30004;;"United States";"At Union Team BJJ, we pride ourselves in teaching our students: REAL Brazilian Jiu Jitsu that teaches our students self defense techniques for real world situations, AND; Sport-Oriented Brazilian Jiu Jitsu that teaches our competitors how to become world champions in the ever-growing sport of BJJ. The mission of Union Team BJJ is to teach serious, dedicated students the art of Brazilian Jiu Jitsu with Master Ricardo Murgel, Eighth Degree BJJ Black Belt. Our Alpharetta, Georgia location is the world headquarters of the UNION TEAM BJJ Organization, which was founded on September 13th, 1985 by Master Murgel in Brazil. Master Murgel's Union Team organization also has Jiu Jitsu affiliates in the United States, Brazil, as well as several countries throughout Eastern Europe. The Union Team organization has remained united and strong for over 31 years. ";"https://static1.squarespace.com/static/56e8909b20c64741f20efa2a/t/595463876b49986eafa08a63/1543714255186/?format=1500w";"https://www.unionteambjj.com/class-descriptions";"Young Warriors classes are fun and interactive and designed specifically for ages 8 and up! Your children will learn the fundamentals of Brazilian Jiu Jitsu directly from Master Ricardo Murgel and Coach Nicolas Malone. Our Young Warriors learn self defense and anti-bullying, physical fitness and social skills in a fun and encouraging manner. The children’s class helps to develop gross motor skills, cooperation and simple defensive skills. All of our children’s classes help to foster discipline, cooperation and develop self confidence and awareness in our students. During the class, students learn takedowns, takedown defense, and submissions. At the end of class, students participate in a sparring session where they will grapple with each other allowing the student to apply the techniques taught during the first half of the class. The classes are taught in a high energy, fun environment with an emphasis on physical fitness and discipline. Our classes are kept small so your child can receive individualized attention from Master Ricardo Murgel and Coach Nick.";;;;;"https://www.unionteambjj.com/schedule";;"Ricardo Murgel";;"mimi.unionbjj@gmail.com";"https://www.facebook.com/unionteamusa/";"https://www.youtube.com/channel/UCcmYJiurPGC90irry4_qR0A";"https://youtu.be/FkTWj19xs4w";;0;520;
"TITLE Boxing Club Johns Creek";;(678) 820-4881;"8465 Holcomb Bridge Rd #240";"Alpharetta";"GA";30022;"5/5 Stars";"United States";;;;;;;;;;;;;;;;;;0;528;"Closed"
"SBG Athens";"https://athensfitnessandmma.com/";(706) 850-8444;"240 Collins Industrial Blvd. Suite G";"Athens";"GA";30601;"5/5 Stars";"United States";"We are committed to providing innovative, relevant, sustainable and accessible Martial Arts and Fitness programs that empower our students for life.";"https://res.cloudinary.com/display97/image/upload/q_auto,fl_lossy,f_auto/54761.png";"https://athensfitnessandmma.com/classes/Kids-Martial-Arts";"AT SBG Athens, we are proud to help students all across the community stay active and have a blast learning new skills. Our Kids Martial Arts program is designed to set students of all skill levels up for success with hands-on instruction and a safe, supportive environment. From day one, your child can take on the best blend of self-defense skills, fitness training, and well-rounded character development.";;;"MMA";;"https://athensfitnessandmma.com/Home/Schedule";;"Rory Singer";;"info@athensfitnessandmma.com";"https://www.facebook.com/SBGAthensFans/";"https://www.youtube.com/user/AthensFitnessandMMA";"https://youtu.be/Ckx_d3H0pWE";;0;543;
