"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations (0=Yes, 1=No)";"id";"NOTES"
"Monkey Bar Gym Bellevue";"https://monkeybargymeastside.com/";(206) 931-6500;"2507 152nd Ave NE";"Redmond";"WA";98052;"5/5 Stars";"United States";"Monkey Bar Gym is a no-frills, no excuses Bellevue gym that will be by your side and encourage you every step of the way. We will celebrate your gains and limit set backs. Our gym provides expertise and many classes including martial arts, boot camps, yoga, weight lifting, and more.";"https://i0.wp.com/monkeybargymeastside.com/wp-content/uploads/2018/06/MBG_Logo_EASTSIDE210.png?fit=209%2C144&ssl=1";;;;;"Strength Training & Conditioning, Fitness/Conditioning";;"https://monkeybargymeastside.com/schedule/";;"Greg Jones";;;"https://www.facebook.com/MonkeyBarGymInc/";"https://www.youtube.com/channel/UCB-54icVfsyQA82tOC_CPgA";"https://youtu.be/wAee-0Pu0-o";;1;1491;
"Hocevar Performance - Renton Personal Trainer";"http://www.hocevarperformance.com/";(425) 276-5721;"1222 Bronson Way N #250";"Renton";"WA";98055;;"United States";;;;;;;;;;;;;;;;;;1;1454;"Closed"
"Fairwood Martial Arts";"http://fairwoodmartialarts.com/";(425) 255-8144;"17138 116th Ave SE";"Renton";"WA";98058;;"United States";"If you want to be the best, then you need to train with the best. For over 30 years, the instructors at Fairwood Martial arts have taught karate and mixed martial arts to young children, kids, teens, and adults in a family-friendly atmosphere with a proven track record of success. We also provide karate parties, ""boot camp"" kickboxing cardio workouts, women's self-defense seminars, and corporate and law-enforcement martial arts training.";"http://fairwoodmartialarts.com/wp-content/uploads/2012/03/copy-logo32.png";"http://fairwoodmartialarts.com/kids-karate/";"We offer year-round afternoon Karate classes for kids ages 6-12. Our children’s curriculum is the same as the adults’, but each rank level for children contains a much smaller amount of material, so they can progress quickly and receive consistent positive feedback.";;;"Karate";;"http://fairwoodmartialarts.com/schedule/";;"John and Ricki Kay";;;"https://www.facebook.com/fairwooddojo";;;;1;1453;"No BJJ Classes"
"Azteca Boxing";;(425) 351-9728;"228 Main Ave S";"Renton";"WA";98057;;"United States";;;;;;;;;;;;;;;;;;1;1449;"No BJJ Classes"
"Ruffhouse Jiu Jitsu";"https://ruffhousejiujitsu.com/";(425) 572-5454;"405 S 3rd St";"Renton";"WA";98057;;"United States";"Ruffhouse Brazilian Jiu Jitsu started in Arizona in 1999 under Professor Arthur Ruff. Professor Ruff's extensive Jiu Jitsu background, Judo background, and coaching and competition experience make Ruffhouse Jiu Jitsu one of a kind.";"https://images.squarespace-cdn.com/content/5b60a071c3c16af29b323af4/1542244902444-LCMJYX353HMZVB82LEIV/Untitled.png?content-type=image%2Fpng";;;;;;;;;"Arthur Ruff";;;"https://www.facebook.com/ruffhousejiujitsu/";;;;1;1611;
"Ruffhouse Jiu Jitsu";"https://ruffhousejiujitsu.com/";(425) 572-5454;"405 S 3rd St";"Renton";"WA";98057;;"United States";"Ruffhouse Brazilian Jiu Jitsu started in Arizona in 1999 under Professor Arthur Ruff. Professor Ruff's extensive Jiu Jitsu background, Judo background, and coaching and competition experience make Ruffhouse Jiu Jitsu one of a kind.";"https://images.squarespace-cdn.com/content/5b60a071c3c16af29b323af4/1542244902444-LCMJYX353HMZVB82LEIV/Untitled.png?content-type=image%2Fpng";;;;;;;;;"Arthur Ruff";;;"https://www.facebook.com/ruffhousejiujitsu/";;;;1;1452;"Duplicate with id # 1611"
"Capoeira Malês Renton";;(253) 458-1263;"4602 NE Sunset Blvd";"Renton";"WA";98059;;"United States";;;;;;;;;;;;;;;;;;0;1450;"No BJJ Classes"
"Capoeira Malês Renton";;(253) 458-1263;"4602 NE Sunset Blvd";"Renton";"WA";98059;;"United States";;;;;;;;;;;;;;;;;;0;1610;"No BJJ Classes"
"Leading Edge Kickboxing & Martial Arts";"https://www.leadingedgekickboxing.com/";(425) 656-2868;"810 SW 34th St";"Renton";"WA";98057;;"United States";"Leading Edge is a great alternative to standard fitness programs and an effective system for learning self-defense. We specialize in realistic and effective martial arts for children and adults in a non-competitive and ego-less environment. The various arts taught at Leading Edge (Muay Thai Kickboxing, Jiu-Jitsu, Jeet Kune Do, MMA, Kid’s Self-Defense) are fun and safe, but through practice these skills can quickly be used in a serious situation if the need arises. Our motto is Fitness with Purpose™. There are many fitness concepts available to us. Aerobics, swimming, weight lifting, and running are all valid forms of fitness with unique benefits, but many of these can become tedious and boring as the same routine is performed over and over again. Most importantly, you would have to combine many of these activities in order to build lean muscle mass, improve cardiovascular fitness, coordination and biomechanics while having fun. The great thing about Leading Edge is you can do all of these things at the same time! Leading Edge is a great way to get in shape, learn self-protection and improve your confidence simultaneously.";"https://www.leadingedgekickboxing.com/wp-content/uploads/2018/02/LEKB-logo-resized.png";"https://www.leadingedgekickboxing.com/kids-full-circle/";"Jiu-Jitsu is a martial art that involves training that teaches your child how to perform techniques such as take-downs, locks, pins, and submission holds. This martial art is beneficial for helping your child learn how to protect themselves in the event that a fight goes to the ground (e.g., on their backs or stomachs instead of standing). Additionally, learning to be aware of one’s body as well as the opponent’s can help minimize the risk of damage and liability that can come from any fight.";;;"Muay Thai, Kickboxing, MMA, Jeet Kune Do, Boot Camp Co-Ed Fitness Program";"One Program - $124.99/Month; Two or More Classes - $144.99/Month; Kids Full Circle - $144.99/Month; Boot Camp - $49.99/Month";"https://www.leadingedgekickboxing.com/renton/";;"John Staab";;;"https://www.facebook.com/Leading-Edge-Kickboxing-Martial-Arts-183484351702628/";"https://www.youtube.com/user/johnstaab";"https://youtu.be/nWfQa3lIglQ";;0;1612;
"Leading Edge Kickboxing & Martial Arts";"https://www.leadingedgekickboxing.com/";(425) 656-2868;"810 SW 34th St";"Renton";"WA";98057;;"United States";"Leading Edge is a great alternative to standard fitness programs and an effective system for learning self-defense. We specialize in realistic and effective martial arts for children and adults in a non-competitive and ego-less environment. The various arts taught at Leading Edge (Muay Thai Kickboxing, Jiu-Jitsu, Jeet Kune Do, MMA, Kid’s Self-Defense) are fun and safe, but through practice these skills can quickly be used in a serious situation if the need arises. Our motto is Fitness with Purpose™. There are many fitness concepts available to us. Aerobics, swimming, weight lifting, and running are all valid forms of fitness with unique benefits, but many of these can become tedious and boring as the same routine is performed over and over again. Most importantly, you would have to combine many of these activities in order to build lean muscle mass, improve cardiovascular fitness, coordination and biomechanics while having fun. The great thing about Leading Edge is you can do all of these things at the same time! Leading Edge is a great way to get in shape, learn self-protection and improve your confidence simultaneously.";"https://www.leadingedgekickboxing.com/wp-content/uploads/2018/02/LEKB-logo-resized.png";"https://www.leadingedgekickboxing.com/kids-full-circle/";"Jiu-Jitsu is a martial art that involves training that teaches your child how to perform techniques such as take-downs, locks, pins, and submission holds. This martial art is beneficial for helping your child learn how to protect themselves in the event that a fight goes to the ground (e.g., on their backs or stomachs instead of standing). Additionally, learning to be aware of one’s body as well as the opponent’s can help minimize the risk of damage and liability that can come from any fight.";;;"Muay Thai, Kickboxing, MMA, Jeet Kune Do, Boot Camp Co-Ed Fitness Program";"One Program - $124.99/Month; Two or More Classes - $144.99/Month; Kids Full Circle - $144.99/Month; Boot Camp - $49.99/Month";"https://www.leadingedgekickboxing.com/renton/";;"John Staab";;;"https://www.facebook.com/Leading-Edge-Kickboxing-Martial-Arts-183484351702628/";"https://www.youtube.com/user/johnstaab";"https://youtu.be/nWfQa3lIglQ";;0;1455;"Duplicate with id # 1612"
