"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations (0=Yes, 1=No)";"id";"NOTES"
"Tiger Schulmann's Martial Arts";"https://tsk.com/";(732) 613-1206;"510 Route 18 North";"East Brunswick";"NJ";"08816";;"United States";"Practical self-defense training and total fitness workouts are the priority at the East Brunswick location of Tiger Schulmann’s Martial Arts. This 3,000 square foot studio will get you in shape in no time, and you won’t break a sweat looking for parking. Under the direction of Sensei Katz and his team of handpicked, highly trained and skilled teachers, you’ll be motivated to reach your goals in our classes and programs that focus on muscular development, cardio conditioning, and improving flexibility. With a roster of tailored kickboxing, kids’ martial arts, mixed martial arts, karate, Muay Thai and jiu jitsu classes, there’s something for everyone.";"https://tsk.com/wp-content/uploads/2015/12/logo-tiger-schulmanns.png";"https://tsk.com/locations/new-jersey-locations/east-brunswick/kids-martial-arts";"Help your children achieve success in all aspects in their life and enroll them in the kids martial arts curriculum at the East Brunswick location of Tiger Schulmann’s Martial Arts.";;;"MMA, Kickboxing, Karate, Muay Thai";;;;"Andrew Katz";;"eastbrunswick@tsk.com";"https://www.facebook.com/TigerSchulmannsEastBrunswick/";"https://www.youtube.com/user/tsmma";"https://youtu.be/aD9tuwmGUrs";;0;1010;
"Satori Academy of Martial Arts";"https://www.satoriacademynj.com/";(732) 494-2195;"1199 Amboy Ave";"Edison";"NJ";"08837";"5/5 Stars";"United States";"Our mission is to bring out the very best in all our students. We empower people of all ages to achieve their full potential by emphasizing self-defense, health, fitness and life skills in a friendly, safe and positive environment. Our students discover capabilities within themselves they never thought possible and become more confident, successful contributing members of the community.";"https://d3ciwvs59ifrt8.cloudfront.net/985b5425-83f5-4c19-8ba7-bcc9ff31c0f6/ab658d3c-9ed9-4db2-bb59-7e3d02575a83.png";"https://www.satoriacademynj.com/kids-programs";"Martial Arts Teaches Kids Everything They Need to Know About Self-Defense, Fitness, Confidence, and the Self-Discipline Skills that Help Create Future Success in Life!";;;"Karate, Doce Pares Eskrima";;"https://www.satoriacademynj.com/edison-metuchen";;"Shihan Kristine Brink";"Free two class";;"https://www.facebook.com/SatoriAcademyNJ";"https://www.youtube.com/channel/UCbpibF9qAOZNdKvwEDkMtgw";"https://youtu.be/0QEG5iymKMU";;0;995;
"Jaguar Brazilian Jiu-Jitsu";"http://jaguarbjj.com/";(646) 248-8020;"518 Old Post Rd";"Edison";"NJ";"08817";;"United States";"Brazilian jiu-jitsu (BJJ) is a martial art, combat sport, and a self defense system that focuses on grappling and especially ground fighting.";"http://jaguarbjj.com/img/fav.png";;;;;;;;;"Radji Bryson-Barrett";;"jaguarbjj@yahoo.com";"https://www.facebook.com/JaguarBrazilianJiuJitsu/";;;;1;993;
"Renzo Gracie Elite Hoboken";"https://rgehbjj.com/";(201) 923-1230;"38A Jackson St., Unit 210";"Hoboken";"NJ";"07030";;"United States";"Brazilian Jiu-Jitsu (BJJ) is a grappling-based martial art, which at its core, promotes the concept that a smaller, weaker person can successfully defend against a bigger, stronger opponent by utilizing leverage and technique. Given the fact that controlling an opponent is generally easier on the ground than in a standing position, much of the technique of Brazilian Jiu-Jitsu pertains to the skill of taking an opponent down to the ground and grappling for dominant control positions from where the opponent can be submitted or rendered harmless. Utilizing superior leverage, grip, technique and position we can control and overcome even larger/stronger aggressors. Practitioners of the art gain a deep understanding of the workings, strengths, vulnerabilities and limits of the human body. Classes at the academy are taught 7 days a week. They include a strength & endurance building warmup, technical instruction and live rolling. It is among the most demanding and cerebral workouts you will ever experience. Suitable for all levels, all ages and anyone who may be interested in improving their health, safety, problem solving ability, confidence, endurance, strength and more!!";"https://s3.amazonaws.com/zenplannerwordpress-stack0/wp-content/uploads/sites/72/2018/08/24133910/Renzo-Gracie-Elite-Hoboken.png";"https://rgehbjj.com/programs/";"Get your child involved in learning self-defense, discipline and teamwork! At Renzo Gracie Elite, your child will learn a complete self-defense system that will instill self-confidence for life. As training continues, kids will transition to more advanced aspects, your child will have a basic understanding of self-defense, take-downs, body control and body positioning. The focus of this class is to further develop the understanding and use of leverage as well as the implementation of submissions and dominant positions. Furthermore, we teach positive social values such as respect, honesty, humility and dignity. The practice of Brazilian Jiu Jitsu is seen as a means to individual development and our kids program emphasizes these important life skills.";;;;;"https://rgehbjj.com/schedule/";"Mon-Sat: 7:00am-9:00pm";"Brian Schutzer";"Free trial class";"rgehobokenbjj@gmail.com";"https://www.facebook.com/rgehbjj";"https://www.youtube.com/channel/UCKRD4nlJOcsNrhlOGlUV-gg";"https://youtu.be/1Zdm5vGRZr0";;1;983;
"Hoboken Jiu Jitsu";"http://hobokenbjj.com/";(201) 332-4269;"316 Sinatra Dr";"Hoboken";"NJ";"07030";"5/5 Stars";"United States";"We are located inside of the UFC Gym in Hoboken, New Jersey. We offer Brazilian Jiu Jitsu, Muay Thai Kickboxing and Kids MMA/Jiu Jitsu classes. No matter if you’re male or female, old or young, big, small, athletic, out of shape, never stepped foot inside a gym in your life, it doesn’t matter. We are here to make sure you meet your goals.";;"http://hobokenbjj.com/kids-brazilian-jiu-jitsu";"Hoboken Brazilian Jiu Jitsu offers a challenging, fun youth program for age groups 3-7 & 8-12 years old. The youth program provides self-defense and physical activity for children while promoting a fun learning environment. Led by Essex County’s renown youth coach Geo Alvarez, Hoboken Jiu-Jitsu’s Kids program will teach children the key skills and techniques of Brazilian jiu-jitsu while promoting fitness and self-confidence. The program integrates self-defense, conditioning and age-specific, skill-oriented games to improve your child’s motor skills, stamina, agility and flexibility. Students are taught how to use their balance and leverage to protect themselves regardless of size, weight or strength. Students will receive stripes and new belts as they continue to grow and learn. This allows students to visualize their accomplishments and encourage them to continue on their journey toward bettering their jiu-jitsu technique, and most importantly their health.";;;"MMA, Muay Thai Kickboxing";;"http://hobokenbjj.com/s%d1%81hedule";;"Dan Covel";"1 week free trial offer!";"hobokengm@ufcgym.com";"https://www.facebook.com/hobokenjiujitsu/";;;;1;980;
"David Branch Jiu Jitsu";"http://www.davidbranchjiujitsu.com/";(551) 256-3820;"720 Monroe St, C411/C410";"Hoboken";"NJ";"07030";"5/5 Stars";"United States";"MMA (Mixed Martial Art) and Brazilian Jiu Jitsu Jiu Jitsu have grown to be worldwide combat sports. The ongoing popularity of these respective sports is due to its ability to provide a complete workout, while sharpening the senses, and teaching an effective yet practical form of self defense. The combat techniques are devastating and provide immediate results if applied correctly. Having this knowledge instills confidence and gives a peaceful, poised and relaxed attitude. The combination of these elements makes the practitioner ready to face the realities of modern life ahead.";"http://static1.squarespace.com/static/56d8f92d37013be2a79fcd93/t/56d8fea18259b560ad359edf/1558645854812/?format=1500w";"http://www.davidbranchjiujitsu.com/kids-jiu-jitsu";"Beginning at ages 4 to 14, we offer classes Monday through Friday from 3:30 - 4:15 PM with our Purple Belt instructor, Marvin Nino! Additionally, we offer kids classes on Saturdays at 11 AM and Sunday at 1:30 PM. ";;;"MMA, Submission Grappling, Muay Thai, Judo, Wrestling, Yoga";;"http://www.davidbranchjiujitsu.com/schedule";;"David Branch";"1 free trial class offer!";"davidbranchjiujitsu@gmail.com";"https://www.facebook.com/DavidBranchJiuJitsu/";"https://www.youtube.com/channel/UCoIWGXrh4-yYYROU7amJCBQ";"https://youtu.be/jDJNjuCSiPI";;1;978;
"Tiger Schulmann's Martial Arts";"https://tsk.com/";(201) 379-4344;"84 Washington St";"Hoboken";"NJ";"07030";;"United States";"With a roster of tailored kickboxing, kids’ martial arts, mixed martial arts, karate, Muay Thai and jiu jitsu classes, there’s something for everyone in this studio. No experience? No problem. Under the direction of our team of handpicked, highly trained and skilled teachers, you’ll set and reach your fitness goals while gaining key self-defense skills, self-discipline, and a higher level of confidence. Give us a call today to learn more about the Hoboken, New Jersey location of Tiger Schulmann’s Martial Arts.";"https://tsk.com/wp-content/uploads/2015/12/logo-tiger-schulmanns.png";"https://tsk.com/locations/new-jersey-locations/hoboken/kids-martial-arts";"Martial Arts training improves focus, discipline, fitness, and builds confidence in the children that study with us here at the Hoboken location of Tiger Schulmann’s Mixed Martial Arts. We like to call that development Kidfidence. And it isn’t just about your child having the confidence, focus, and strength to tackle any of life’s challenges. It is about helping your child find his or her their place in a 30 year legacy of former and present students who are Ivy Leaguers, successful doctors, lawyers, teachers, scientists, and everything in between. Unlike other kids martial arts programs, our’s has withstood the test of time. Tiger Schulmann’s Mixed Martial Arts has been an institution of excellence for more than 30 years thanks to Master Daniel “Tiger” Schulmann, his team of expert instructors, and their continual refinements and innovations to our kids martial arts curriculum. The curriculum, which is a blend of the most effective martial arts styles, techniques, and values, and in-depth knowledge of child psychology, is sure to make parents happy and our fun twist on these time-honored traditions keeps our students coming back for more. And it’s easy to see why. Here at Tiger Schulmann’s, we like to keep things in the family. That’s why the Hoboken school is owned by dedicated Tiger Schulmann’s instructors, who have all been Tiger Schulmann’s students themselves. They continue to train every week with Master Schulmann and his brother Ron, an 8th degree black belt, at our headquarters in Elmwood Park, New Jersey. We take your child’s development very seriously. All of our instructors have a minimum of 10 years of high-level martial arts training before they are chosen to teach your child and are then required to train in child psychology as well. That’s why our bully prevention and self-defense techniques really work. But don’t just take our word for it… the Tiger Schulmann’s MMA Competition Team has the championship belts to prove it. So come by and see why the Hoboken location of Tiger Schulmann’s Mixed Martial Arts is the best place for your child. Because it’s a fact, confident kids are happy, successful kids. And the parents of confident kids are proud parents.";;;"MMA, Kickboxing, Karate, Muay Thai";;;;"Louis Gaudinot";;"hoboken@tsk.com";"https://www.facebook.com/TigerSchulmannsHoboken/";"https://www.youtube.com/channel/UCkfeHtWcutBOChHTvzNHmKg";"https://youtu.be/jBvxvRqTqZk";;0;985;
"Ninja University";;(973) 375-0093;"1095 Clinton Ave";"Irvington";"NJ";"07111";;"United States";;;;;;;;;;;;;;;;;;1;1016;
"Renzo Gracie Jersey City";"http://www.renzograciejc.com/";(201) 435-5317;"143 Columbus Drive Floor 3";"Jersey City";"NJ";"07302";;"United States";"Renzo Gracie Jersey City is located at 143 Columbus Drive in Historic Downtown, one block from the Grove Street Path Station. We offer Brazilian Jiu Jitsu classes 7 days a week for Adults, Teens and Kids in our state-of-the-art three floor facility.";"http://static1.squarespace.com/static/5586d4efe4b03adbbd4905fd/t/5866ea2729687f6648eed3ea/1560871472170/?format=1500w";"http://www.renzograciejc.com/schedule";"Students will learn the Basics of Brazilian Jiu Jitsu, self-defense techniques, and bully prevention methods. Class is comprised of a warm up, Lessons in Throws, Pins and Submissions, Skill-building games and challenges, ending with rounds of monitored Rolling. Gracie Jiu Jitsu is the most efficient martial art your children can learn. And one of the most helpful tools they will ever have at their disposal.";;;;;"http://www.renzograciejc.com/schedule";"Mon-Wed: 10:30am-9:00pm, Tues-Thurs: 7:00am-9:00pm; Fri: 7:00am-7:30pm; Sat: 9:30am-1:00pm";"Mouad ""Marroquino"" Lahlou";"Free Trial";"RenzoGracieJerseyCity@Gmail.com";;;;;1;990;
"Team Endurance MMA";"https://www.jerseycitybjj.com/";(201) 433-0515;"785 West Side Ave";"Jersey City";"NJ";"07306";;"United States";"Team Endurance MMA has relocated to a wonderful new building located at:  785 West Side Ave, Jersey City, NJ 07306. That is in between Montgomery and Duncan Ave. Next door form an Exxon Station and across the street form Duncan Hardware. Super easy to get to by public transportation. Not too far from Journal Square and diagonally located form St. Peter’s University! ";"https://www.jerseycitybjj.com/wp-content/uploads/2018/08/NEW-LOGO-2.jpeg";"https://www.jerseycitybjj.com/kids-classes/";"Our children classes at Team Endurance MMA are age specific. We understand that children of different ages learn differently. Therefore, our classes are geared for your child to learn the same as the adults do but broken down in a way that they understand. Our system of teaching matures as your child grows and moves up the ranks. Unlike most martial art school where children only learn one specific martial art, kids here learn Brazilian Jiu-Jitsu and Karate (as a foundation for kickboxing). Safety is our number one priority when it comes to kids learning martial arts.";;;"Kickboxing, MMA";;"https://www.jerseycitybjj.com/location/";;"David Escobar";;"endurancemma@yahoo.com";"https://www.facebook.com/JerseyCityKickboxingAcademy/";"https://www.youtube.com/channel/UCBOFYNTQIY7UNR1vkym-F8w";"https://youtu.be/e_SjX3CHhsI";;1;984;
