"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations (0=Yes, 1=No)";"id";"NOTES"
"Mass BJJ - Arlington";"https://massbjj.com/";(781) 648-0405;"26 Massachusetts Ave";"Arlington";"MA";"02474";;"United States";"Mass Brazilian Jiu-Jitsu was formed to offer a practical approach to training self-defense in a fun and safe environment. We offer a variety of martial arts classes and athletic training programs including; Brazilian Jiu-Jitsu, No-Gi Submission Wrestling, Kickboxing, Mixed Martial Arts and Fighter Fitness. We are a family friendly environment and ensure student safety as our priority. We take a great deal of pride in what we teach and have a passion for sharing the knowledge we have gained from our own training. Students are encouraged to choose from any or all of the programs we offer. You can mix and match what your want to learn. Some people only choose one program while others are interested in training in all of the programs. One of the hidden upsides to training at Mass BJJ is the community that has been built around both schools. A common theme that we hear when we ask students for feedback on our program, is how pleasantly surprised they are at the community of people that have become an extended family for so many of our practitioners. Mass BJJ is a place that offers so much more than just lessons in martial arts. It is hard not to get to know one another as we spend so much time on the mat together. And we have come to support one another through all the difficult times and celebrate together for all the happy times both on and off the mat. Whether it is to get into better shape, learn realistic self-defense techniques, fulfill the drive to compete at the World Championships or in the UFC, we have a unique ability to help you achieve these goals! And with classes designed specifically for Adults, Women and Kids Martial Arts we have something for everyone!";;"https://massbjj.com/kids-bjj-arlington-acton/";"The Kids Brazilian Jiu-Jitsu program in Acton and Arlington is a fun and challenging way for children ages to study martial arts in a clean, comfortable and non-intimidating environment. The kid’s class is designed to encourage learning through positive reinforcement. We do not use a win or lose mentality to reinforce the techniques. Instead, we use incremental and progressively increasing challenges in complexity, intensity, and unpredictability to provide the child with positive feedback and “errorless learning.";"https://massbjj.com/womens-bjj-class-arlington-acton-massachusetts/";"MassBJJ Acton and Arlington offer a Women’s only Brazilian JiuJitsu class. This class will focus on the fundamentals of realistic self defense. We will cover basic techniques that are designed to help women protect and defend themselves from a larger assailant. There will be an emphasis on movement and maintaining balance in a chaotic environment. This class is suitable for anyone. If you have any prior martial arts experience or you are starting brand new as a beginner this class will have a lot to offer!";"Kickboxing, Mixed Martial Arts, No Gi Submission Wrestling, Fighter Fitness";;"https://massbjj.com/arlington-schedule/";;"Nate Ryan";"Kids BJJ Trial = 3 Weeks For $39.99 (Includes A Uniform), Adults Trial = Free Class! (Requires Appointment)";"arl.info@massbjj.com";"https://www.facebook.com/MassBJJArlington";"https://www.youtube.com/user/MassBJJVids";"https://youtu.be/BAAqBltOR5c";;0;778;
"Brazilian Top Team Allston";"http://bttallston.com/";(857) 204-9267;"236 Brighton Ave";"Allston";"MA";"02134";;"United States";"Brazilian Top Team (BTT) was founded in April 2000 by Murilo Bustamante, Ricardo Libório, Mário Sperry and Luis Roberto Duarte, former members of the Carlson Gracie Academy, to develop and create new training methodologies for Brazilian Jiu-Jitsu, submission & grappling, wrestling and mixed martial arts. Through a strictly professional work and study of the martial arts, BTT has managed to establish itself as one of the best martial arts and combat sports teams in the world, training professional fighters like Vitor Belfort, Antônio Rogério Nogueira, Antônio Silva, and Patrick Côté. The BTT training center is dedicated in realizing the potential of new talents in martial arts and combat sports. By bringing world-class expertise in a friendly and supportive environment, our dedicated coaching staff have created and will continue to create countless champions. Marcos Tulio, a 4-th degree black belt in Brazilian jiu-jitsu, is the head coach of BTT Allston. Prior to BTT Allston, Marcos was the head mixed martial arts coach at American Top Team Miramar.";"http://bttallston.com/Pictures/BTT_Logo.jpg";;"Martial arts is a fun way for both boys and girls to achieve fitness and focus. Some parents may think they also promote violence, but that's a myth according to experts. Martial arts actually help teach self-defense, self-discipline, self-control, concentration, and socialization skills. In fact, many parents whose children have ADHD report great success with kids martial arts programs because self-control and concentration are exactly the skills underdeveloped in ADHD kids. ";;;"Muay Thai Kickboxing, Boxing, MMA, Wrestling, Judo, Self Defense, Strength and Conditioning";"Jiu-Jitsu Membership: $99 per month";"http://bttallston.com/#adultClass";"Mon-Fri: 6:00am-9:00pm, Sat: 12:00pm-6:00pm, Sun: 12:00pm-4:00pm";"Marcos Tulio";"First class free and no hidden fees!";;"https://www.facebook.com/bttallston/";;;"Marcos Tulio: 24-time Interstate Champion; 15-time State Champion; Florida Champion of Grappling; 22-time North Northeast Champion; 3-time Brazilian Champion; 3-time World Champion; 3-time Naga Champion";1;739;
"Combat Sports Boston";"https://combatsportsboston.com/";(617) 720-2422;"261 Friend St";"Boston";"MA";"02114";;"United States";"At Combat Sports Boston, the goal of our training staff is to foster an environment in which all of our students are best able to learn, build friendships, and develop a deeper respect for the martial arts. As a promise to our students, we will always provide the best possible instruction based on our experiences and our proven curriculum. In return, we expect that the students will respect the teachings and traditions passed down through our training staff. ";"https://res.cloudinary.com/display97/image/upload/q_auto,fl_lossy,f_auto/h_100/91198.png";;;;;"Muay Thai, MMA, Boxing";;"https://combatsportsboston.com/Home/Schedule";;"Phil Myers";;"info@combatsportsboston.com";"https://www.facebook.com/combatsportsboston";"https://www.youtube.com/channel/UCaHbZ45Mb626N1zelm6bNTA";"https://youtu.be/EqqzKwka2vo";;1;741;
"Broadway Jiu-Jitsu and Fitness";"https://www.broadwayjiujitsu.com/";(617) 269-2553;"36 W Broadway";"Boston";"MA";"02127";;"United States";"Broadway Jiu-Jitsu and Fitness. Team Carlson Gracie South Boston, Boston's Martial Arts Authority. The Best Instructors And Classes In Jiu-Jitsu, Judo.";"https://www.broadwayjiujitsu.com/wp-content/uploads/2018/05/logo.png";"https://www.broadwayjiujitsu.com/program/kids-martial-arts/";"Give Your Kids the Lifelong Gifts of Personal Success, Confidence, Discipline and Self-Defense...While Making Sure They Have a TON of Fun. Martial arts classes normally makes you think of self-defense, being strong, fit and safe. The truth is, it’s all that and WAY more!";;;"Muay Thai, MMA, Judo";;;"Mon-Fri: 12:00pm-8:00pm, Sat: 10:00am-2:00pm";"John Clarke";;"broadwayjiujitsu@gmail.com";"https://www.facebook.com/broadwayjjf/";"https://www.youtube.com/user/BroadwayJiuJitsu";"https://youtu.be/pCi80yEakXQ";;1;740;
"UFC Gym Boston Financial District";"https://ufcgym.com/";(857) 930-1926;"76 Lincoln St";"Boston";"MA";"02111";"1/5 Stars";"United States";"UFC GYM Boston Financial District, located in the Financial District, offers classes for every fitness level. Whatever your fitness goals are: lose weight, increase strength, sports conditioning, we have daily classes including boxing, kickboxing, functional training, youth programs, Brazilian Jiu-Jitsu & personal training to help you reach those goals. ";;"https://ufcgym.com/classes/youth-brazilian-jiu-jitsu-gi";"Students will learn that there is a time and a place for martial arts training. The program integrates; self-defense techniques, conditioning and skill oriented games aiming to improve your child’s motor skills, agility and flexibility. Youth BJJ is a fun class for youth that teaches discipline and helps build confidence.";"https://ufcgym.com/classes/womens-brazilian-jiu-jitsu-gi";"Designed for women, this class teaches basic BJJ techniques and practical self-defense skills. Learn Fundamental Takedowns, Position Controls, Position Escapes, and Submissions and leave feeling stronger and more empowered than ever.";"Kickboxing Conditioning, Daily Ultimate Training™, Fight Fit, Boxing Skills & Techniques, MMA, MATRX";"Ultimate - Access to this UFC GYM location, including all amenities, group fitness classes and Ultimate level classes like Daily Ultimate Training, Boxing, Kickboxing, Brazilian Jiu-Jitsu and TRX. Popular classes included with this membership: Daily Ultimate Training (D.U.T)®, Kickboxing Conditioning, Boxing Conditioning. Membership dues: $129.00/month";"https://ufcgym.com/bostonfidi/schedule";"Mon-Thurs: 6:00am-9:00pm, Fri: 6:00am-8:00pm, Sat: 8:00am-4:00pm, Sun: 8:00am-2:00pm ";;;"bostonfidigm@ufcgym.com";"https://www.facebook.com/UFCGymBostonFiDi/";;;;1;738;
"Gracie Barra Boston";"https://graciebarraboston.com/";(617) 787-5255;"957 Commonwealth Avenue";"Boston";"MA";"02215";;"United States";"The Gracie Barra Boston jiu jitsu program is aligned with the teaching methods developed by our Master Carlos Gracie Jr. to meet the specific learning needs of people from different ages, genders, and levels. Our clean, friendly and progress-minded environment will challenge and inspire you, and provide a training experience that aims to encourage and make you excited to come back the next day.";"https://pmcontent.blob.core.windows.net/15976ae84d2f40e2909053eaf23ffd9d/publicImages/GB-Boston-LO1.png";"https://graciebarraboston.com/Programs/kids-brazilian-jiu-jitsu-classes-boston";"The Gracie Barra Boston’s Future Champions Program was created to provide children ages 3-15 with an environment that allows them to experience and understand core values around focus, discipline, persistence, cooperation and respect – all through the principles of BJJ teachings. To excel in any endeavor, individuals need to have a strong set of values and a solid character that allows for perseverance and goal attainment. As a contact sport, Gracie Barra Boston’s Brazilian Jiu-Jitsu provides a very challenging yet safe and caring environment for a child to mature into a real life champion. The outcome of continued childhood practice of GB BJJ goes far beyond the accomplishments on the mats. The discipline and excellence demanded by our instructors often carries over to the child’s behavior at home and at school. What ages does the Gracie Barra Boston’s Future Champions Program support? Our Future Champions Program is typically subdivided into three different groups to accommodate students of different ages and skill levels: Little Champions I (3-6 years old), Little Champions II (7-9 Years Old), Juniors & Teens (10-14 years old).";"https://graciebarraboston.com/Programs/womens-jiu-jitsu-classes-boston";"Check out any jiu jitsu competition and you will see extraordinary female competitors through all the ranks. The jiu jitsu program at Gracie Barra Boston whether your dreaming of becoming the next world champion or improving your fitness, is the place for you. A martial art designed to allow the smaller opponent to defeat the stronger, Jiu Jitsu is a perfect fit for women who are interested in learning how to protect themselves – and who wouldn’t be, right? The adult program at Gracie Barra Boston follows the teaching methods that were derived from Master Carlos Gracie Jr’s experience, which not only allowed Gracie Barra to become the strongest team in Rio de Janeiro when it was just one school, but also grow and now be the strongest team in the world composed of a strong network of over 700 schools. Our close community of women is welcome and inviting to all new students – so sign up now and see what Gracie Barra Boston can do for you!";;;"https://graciebarraboston.com/SocialSite/schedule/";;;;"hi@graciebarraboston.com";"https://www.facebook.com/graciebarraboston";"https://www.youtube.com/channel/UC4D9bIcTBFILy48rkQJ8ihA";"https://youtu.be/g7ak0cUInX4";;1;742;
"Florian Martial Arts Center";"http://florianmartialartscenter.com/";(617) 232-3228;"17 Station St., 4th Floor";"Brookline";"MA";"02445";"5/5 Stars";"United States";"You will meet a really great group of people at Florian Martial Arts Center. Everybody is warm and friendly. Egos are left at the door. It feels like a group of friends who treat their training seriously while still managing to enjoy themselves. The Martial Arts will provide you a great sense of accomplishment in a wide range of life enhancing ways. You will gain the confidence that anything can be conquered, either by a counter action or by going with that motion. At Florian Martial Arts Center, we strive to give to others the same benefits that the study of martial arts has provided to us. Students learn the Florian training methods from world class coaches and staff. We teach not only the physical aspects of the Martial Arts, but the accompanying attitude, discipline, and respect that is needed to achieve the true benefits. We have programs for those who want to learn Brazilian Jiu-Jitsu, Striking and Mixed Martial Arts. For students new to martial arts the Fundamentals Program is for you. You will train in a clean, hygienic gym with the same machines and equipment (Air dyne, kettle bells, medicine balls, dumbbells, bosu ball etc…) that Kenny and Keith use to stay in shape. We also have central air conditioning along with changing rooms. Plus, the Florian Martial Arts Center uses the highest quality (2 inch thick) mats available from Zebra Mats.";"http://florianmartialartscenter.com/wp-content/uploads/2014/12/florianmartialartscenter70.png";"http://florianmartialartscenter.com/best-martial-arts-kids-boston-brookline/";"Junior Samurai’s - Martial Arts Program for Kids in the Boston Area. Key Program Benefits: Helps students overcome challenges and obstacles they may face in school, social situations and life in general; Improves self-esteem, character and personal responsibility; Teaches self-defense techniques; Develops respect for others; Increases focus and concentration at school";"http://florianmartialartscenter.com/women-martial-arts-school-boston-brookline/";"Female students at Florian Martial Arts Center participate in the regular co-ed classes for beginners and advanced students, learning to deal with different shapes and strengths in a friendly and non-intimating environment. In these classes women study how to use leverage, flexibility, and body mechanics to achieve control over any situation. Punches, kicks, and throws are not used in jiu jitsu. All positions start on the ground, and are practiced safely on soft zebra mats. With proper technique, and disciplined practice, it is possible to redirect and use an aggressor’s strength against him. You’ll have the skills to defend yourself and get away. This stuff works! For more and more women, a jiu jitsu practice of this kind complements a practice of yoga, running, or personal training. Going over techniques in the classes at Florian Martial Arts is not only a good work out, it also develops agility and body awareness. And it is a lot of fun too! Come watch or take a free week of class, and learn why more and more women are joining our family of jiu jitsu and self-defense practitioners.";"MMA, Striking, Strength & Conditioning";;"http://florianmartialartscenter.com/class-schedule-martial-arts-boston/";;"Keith Florian";"Your first week of classes is a free, one-to-one meeting. We will explain the rationale for studying Brazilian Jiu Jitsu and Mixed Martial Arts the way we do: by making a strategy for the most common positions of hand-to-hand combat: standing, the guard position, the mount, etc.";"info@FlorianMartialArtsCenter.com";"https://www.facebook.com/Florian-Martial-Arts-Center-Inc-108143662560640/";"https://www.youtube.com/channel/UCV8HEuhP4H_O1dBcwRqf7qA";"https://youtu.be/FuUIHobINCQ";;1;781;
"Ginsberg Academy";"https://www.ginsbergacademy.com/";(617) 821-1585;"2000 Massachusetts Ave";"Cambridge";"MA";"02140";;"United States";"We circle up and bow-in at the beginning and end of each class. We bow to direct our focus and clarify our intention to train intelligently and effectively. Also, to show respect to ourselves, our training partners, teachers, students and whomever else one may choose to include. As one stands in the team circle, one bows to the center, to one’s own center. We say “Team!” when we bow in. We could just as well say “Family!” The point is that while we are practicing, whether learning a submission hold, playing tag or drilling a technique or, eventually, ‘rolling’ (controlled sparring), we are not in a competition. This is not a ‘fight club’. We are taking care of ourselves and one another. We will only do a move or movement if we are sure it will cause no harm to our partner. Note, even in sparring, we have partners, not opponents.";"https://www.ginsbergacademy.com/img/logo_v3.png";;;;;;"$180/Month - 12 Month Contract, Recurring Payments; $185/Month - 6 Month Contract, Recurring Payments; $190/Monthly - No Contract, Month to Month Autopay; $200/Monthly - No Contract, No Recurring Payments; $30 - Single Class, Drop-In";"https://www.ginsbergacademy.com/#Schedule";;"David Ginsberg";;;"https://www.facebook.com/Ginsberg-Academy-of-BJJ-and-MMA-372840092817874/";;;;1;725;
"American Martial Arts Center";"http://kickbox1.com/";(857) 259-6677;"36 Spinelli Pl";"Cambridge";"MA";"02138";"5/5 Stars";"United States";"We have been teaching men, women, and kids Martial Arts in Boston, the Greater Cambridge, Belmont, Waltham, Newton And Watertown area for over 30 years! At American Martial Arts Center we specialize in practical self-defense only. If IT DOESN'T WORK IN THE RING, CAGE, OR STREET we won't be wasting time on it in our class. We are a very Americanized version of martial arts and draw heavily on the arts of Muay Thai, Brazilian Jiu Jitsu, Mixed Martial Arts, Filipino Martial Arts, American Combat, Western Boxing, and Bruce Lee's ART OF JEET KUNE DO because of their simplicity and practicality. Whether you're looking to learn self defense, or just get in great shape, we offer a program for everyone! Our kids classes start at age 3 and up! We also offer private one-on-one training for those that can't make it to group classes or simply prefer to be in a one-on-one environment. So don't wait - SIGN UP TODAY!";"https://res.cloudinary.com/display97/image/upload/q_auto,fl_lossy,f_auto/68831.png";"http://kickbox1.com/classes/Kids-Martial-Arts";"At American Martial Arts Center, we teach kids confidence, discipline and respect while having fun learning practical self-defense! Our kids classes are all age appropriate and address kicking, punching, wrestling and self defense! We discuss bully proofing, stranger danger, drug avoidance, the emergency 911 system and much more! It is our goal to ensure your child is successful on and off the mat. Our experienced and professional instructors are accustomed to working with kids of all ages and experience levels. Whether your child is shy or outgoing, American Martial Arts Center in Cambridge has something great to offer everyone! And the best part? You get a peace of mind knowing that your child is being well-taken care of in a safe, friendly, and supportive environment. ";;;"Muay Thai, Self Defense Classes, Kickboxing, Fitness Challenge";;"http://kickbox1.com/Home/Schedule";;"Bobby Giordano";;"amacjkd1@yahoo.com";"https://www.facebook.com/AMACMuayThai/";;;;1;723;
"Redline Fight Sports";"https://www.redlinefightsports.com/";(617) 868-2275;"614 Massachusetts Ave";"Cambridge";"MA";"02139";;"United States";"Redline Fight Sports was founded in Boston as Boston San Shou and exclusively taught Chinese Kickboxing. At the beginning it was not a business but rather a club, founded by a group of friends who wanted a place to train and prepare for competitions. Soon after, Boston San Shou became well for known their high level striking and needed to space to grow. Eventually Boston San Shou moved to Cambridge and became Redline Fight Sports. Along with the new location and name, Redline also opened its doors to other martial arts such as bjj, wrestling, boxing, and kickboxing. Since then, we here at Redline strive to balance competitive martial arts with fitness to create a nurturing and inclusive environment where students can choose to pursue their own path as martial artists. We are not just a martial arts gym, we are a family.";"https://static.spacecrafted.com/b4aa34c1fbea427cb729fa6e78ac3466/i/ba91f789f96e4b4c8284376676e807ea/1/5feFb8zhrk/white.png";;;;;"Boxing, Kickboxing, Fighter Fit, MMA";;"https://www.redlinefightsports.com/schedule";;;;"info@redlinefightsports.com";"https://www.facebook.com/RedlineFightSports/";;;;1;729;
