"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations (0=Yes, 1=No)";"id";"NOTES"
"Denver Jiu Jitsu";"http://denverjiujitsu.com/";(720) 295-0255;"16860 E Iliff Ave";"Aurora";"CO";80013;;"United States";;;;;;;;;;;;;;;;;;1;335;
"High Altitude Martial Arts";"http://highaltitudema.com/";(720) 747-0731;"2832 South Havana Street, Unit ZZ";"Aurora";"CO";80014;"5/5 Stars";"United States";"High Altitude Martial Arts is Aurora’s premier martial arts training center. We specialize in Brazilian Jiu-Jitsu, Kick Boxing / Muay Thai and mixed martial arts. We provide world-class instruction in a safe and clean environment, with classes to fit children and adults of all ages and skill levels. We strive to cultivate a welcoming and comfortable learning environment.";"http://highaltitudema.com/wp-content/uploads/2015/03/hama_logo3.png";"http://highaltitudema.com/aurora-martial-arts/martial-arts-classes-for-kids/";"At High Altitude we offer youth martial arts classes in both Kickboxing and Brazilian Jiu Jitsu. The programs are known as the Youth “Yeti” BJJ and Striking program. It focuses on instructing children in a positive and playful environment. Classes include live training, games, drilling techniques, and coach-led discussions on martial arts life lessons. Youth classes are separated by discipline, age group, and experience level.";;;"Kickboxing, MMA";;"http://highaltitudema.com/schedule/";;"Christian Allen";;;"https://www.facebook.com/highaltitudema/";;;;1;352;
"Gracie Jiu-Jitsu Aurora";"https://www.graciejiujitsuaurora.com/";(720) 541-3987;"3054 S Laredo St";"Aurora";"CO";80013;;"United States";"Gracie Jiu-Jitsu Aurora is aligned with the Gracie Academy Headquarters program in Torrance, California developed by the Gracie family to meet specific learning needs from people of different ages, gender and levels. We are the only Gracie Academy Certified Training Center (CTC) in Denver, Colorado. Our clean, friendly and progress oriented environment allows students to have a challenging, inspirational and warm learning training experience that always make them feel like coming back. Our family oriented environment is the perfect place to teach your children to feel safe everyday not only when they are at school or outside playing, but also in developing their self-confidence and self-discipline. Gracie Jiu-Jitsu Aurora is for anyone who values discipline, wellness, self-defense and respect. We are sure you will find an exciting and challenging place that will allow you to achieve your goals.";"https://pmcontent.blob.core.windows.net/01f168833b1c4504a8be521c626e2baf/publicImages/logo.png?141210070803";;;;;;;"https://www.graciejiujitsuaurora.com/socialsite/schedule";;"Tony Debelak ";;"graciejiujitsuaurora@gmail.com";"https://www.facebook.com/GJJAuroraCO";"https://www.youtube.com/channel/UCd5FRnTSJWj0mj9j3U6fTBQ";"https://youtu.be/VD6auaLL2X8";;1;351;
"Easton Training Center - Boulder";"https://eastonbjj.com/";(303) 938-1275;"2005 32nd St";"Boulder";"CO";80301;"5/5 Stars";"United States";"Located beneath the striking backdrop of the Colorado foothills, about a mile from the University of Colorado, Easton Training Center - Boulder first opened its doors in 1998 as Easton Brazilian Jiu Jitsu. As our community has grown, it has become the flagship academy of the Easton Training Centers, and become incredibly involved with the Jiu Jitsu, Muay Thai, and mixed martial arts community.";"https://eastonbjj.com/wp-content/uploads/2015/04/Easton-Logo-White.jpg";"https://eastonbjj.com/kids-martial-arts/";"At Easton Training Center we offer kids’ martial arts classes in both Brazilian Jiu Jitsu and Muay Thai. These programs focus heavily on teaching children martial arts in a positive, playful setting. Classes include technique drills, games, live training, and a daily Mat Chat, where coaches discuss the life lessons of martial arts.";;;"Muay Thai, Kickboxing";;"https://eastonbjj.com/boulder/schedule/";;"Amal Easton";;"boulder@eastontc.com";"https://www.facebook.com/EastonBjj";"https://www.youtube.com/channel/UCuZKXM1uYfLyg6lCyEWFaGw";"https://youtu.be/62L29A0DeHg";;0;357;
"10th Planet Jiu Jitsu Boulder";"http://10thplanetboulder.com/";(205) 529-5038;"370 S McCaslin Blvd.";"Louisville";"CO";80027;;"United States";"Our No-Gi system promotes real-world self-defense and is great for all experience levels. Whether you're here for the hobby or for the competition path, we've got the answer. PLUS, this total-body workout produces real results. Build strength and get fit like never before. ";"https://res.cloudinary.com/display97/image/upload/q_auto,fl_lossy,f_auto/new-logo-112565.png";"http://10thplanetboulder.com/classes/Kids-Martial-Arts";"There's nothing more exciting for young kids than the action-packed world of Brazilian Jiu Jitsu. This sport goes beyond the restrictions of traditional martial arts and offers students all the character development and physical activity you could want - while also keeping them motivated to come back week after week. Our Kids Martial Arts Classes at 10th Planet Boulder are great for all experience levels";"http://10thplanetboulder.com/classes/Womens-Jiu-Jitsu";"If you're new to Brazilian Jiu Jitsu or you're just not ready to train in mixed company, we've got the answer. Our Women's Jiu Jitsu Classes offer you the chance to learn the sport alongside a great group of supporters and master real-world self-defense skills for situations that are unique to women. ";;;"http://10thplanetboulder.com/Home/Schedule";;"Drew Ash";;"drew@10thplanetboulder.com";"https://www.facebook.com/10thPlanetBoulder/";"https://www.youtube.com/channel/UC7_m7Xnn8TVD-7mpspBI8cQ";"https://youtu.be/Fqs5ZV8XzuE";;1;356;
"Wolchek Academy of Martial Arts";"https://mywama.com/";(303) 443-3088;"5603 Arapahoe Ave #6";"Boulder";"CO";80303;;"United States";"At Wolchek Academy of Martial Arts in Boulder, Colorado, you’ll enjoy a healthy, productive and effective Freestyle Martial Arts program that will tone, condition and strengthen your body from head to toe. Wolchek Academy has a unique curriculum called Special Wolcheck Academy Team (SWAT) that incorporates multiple styles of martial arts (Karate, Brazilian Jiu Jitsu, Muay Thai, and Eskrima), along with yoga, basic tumbling and physical conditioning with character development, discipline, respect, Bully skills, Stranger Danger, sportsmanship and leadership skills. Students progress at their own pace in a safe and exciting atmosphere, taught by World Champion Instructors with years of experience teaching Martial Arts to children in the Boulder Valley. World Champion Mr. Tim Wolchek has black belts in Karate, Eskrima, and Brazilian Jiu Jitsu, and has blended these styles into a self defense system that uses all these different martial arts fluidly to create a modern day, real world, practical self defense program that anyone can learn. It uses sequential movement to transfer naturally energy from one body segment and allows muscle groups to work intricately together to produce the most effective and powerful movements.";"https://cdn.shopify.com/s/files/1/3004/7884/files/Wolchek_150x.jpg?v=1521241978";"https://mywama.com/pages/kids-martial-arts";"Wolchek Academy in Boulder, Colorado has a unique curriculum that incorporates multiple styles of martial arts (Karate, Brazilian Jiu Jitsu, Muay Thai, and Eskrima), along with yoga, basic tumbling and physical conditioning with character development, discipline, respect, Bully skills, Stranger Danger, sportsmanship and leadership skills. Students progress at their own pace in a safe and exciting atmosphere, taught by World Champion Instructors with years of experience teaching Martial Arts to children in the Boulder Valley.";;;"Doce Pares Eskrima, Karate";;"https://mywama.com/pages/class-schedule";;"Tim Wolchek";;"boulderwama@gmail.com";"https://www.facebook.com/wamaboulder/";"https://www.youtube.com/user/WAMABoulder";"https://youtu.be/AR6qaZOCfNA";;1;358;
"Spirit Warrior Martial Arts Academy";"https://spiritwarriormartialarts.com/";(303) 809-8203;"4151 E. County Line Rd., #D";"Centennial";"CO";80122;;"United States";"The core belief and driving force at our school is that martial arts is a way of life. It is not a sport. The goal is to build the person and help them reach their full, true potential. The primary philosophy is that a true martial artist must be in total harmony with mind, body, and spirit. This is done through physical training and mental discipline in the combative arts. Being a warrior and knowing how to defend yourself is very important at our school. Of more importance however, is the growth of one’s true self, the spirit if you will.";"https://spiritwarriormartialarts.com/wp-content/uploads/2018/09/Spirit-Warrior-emblem-3.jpg";"https://spiritwarriormartialarts.com/youth-classes/";"Why Put my Child in Martial Arts? The answer very simply is because nothing builds strong character in your child better than martial arts. Parents report that their kids get better grades, have become more polite and respectful, and have made tremendous improvements in their self-confidence. Contrary to popular belief, it does not teach kids to be violent. Studies have shown the exact opposite to be true. Martial arts in fact decreases aggressive behavior.";;;;;"https://spiritwarriormartialarts.com/classes-schedule/";;"Chuck Niemi ";"2 Class free offer!";"cniemi@spiritwarriormartialarts.com";"https://www.facebook.com/SpiritWarriorMartialArts/";;;;1;355;
"Easton Training Center - Centennial";"https://eastonbjj.com/";(720) 998-5795;"5170 E Arapahoe Rd";"Centennial";"CO";80122;"5/5 Stars";"United States";"Easton Training Center - Centennial offers a full schedule of classes for adults and children. We specialize in Brazilian Jiu Jitsu, Muay Thai, Kickboxing, Wrestling, Fitness, and MMA.";"https://eastonbjj.com/wp-content/uploads/2015/04/Easton-Logo-White.jpg";"https://eastonbjj.com/kids-martial-arts/";"At Easton Training Center we offer kids’ martial arts classes in both Brazilian Jiu Jitsu and Muay Thai.  These programs focus heavily on teaching children martial arts in a positive, playful setting. Classes include technique drills, games, live training, and a daily Mat Chat, where coaches discuss the life lessons of martial arts.";;;"Muay Thai, Kickboxing";;"https://eastonbjj.com/centennial/schedule/";;"Philip Miller";;"centennial@eastontc.com";"https://www.facebook.com/EastonTrainingCenterCentennial";"https://www.youtube.com/user/eastontc";"https://youtu.be/Q1t_T7p8m2A";;0;354;
"Busy BJJ";"https://www.busybjj.com/";(720) 239-2879;"8200 South Quebec St., Unit A10";"Centennial";"CO";80112;;"United States";"At Busy BJJ, we consider ourselves one of the best Brazilian Jiu-Jitsu academies in the Denver metropolitan area. We serve Denver, Greenwood Village, Centennial, Englewood, Littleton, Aurora, Highlands Ranch and other local areas.";"https://static.wixstatic.com/media/f25300_8ca266ce85d8400a9a43ef4e3779a803.png/v1/fill/w_198,h_208,al_c,usm_0.66_1.00_0.01/f25300_8ca266ce85d8400a9a43ef4e3779a803.png";"https://www.busybjj.com/programs";"Busy Bees (Kids): In our kids program, we will be teaching your little ones how to coordenate their bodies, moving theis upper and lower body at the same time. They will learn all the basics of Brazilian Jiu-Jitsu, learn how to defend themselves, get a great workout and build up their self-esteem, confidence and endurance. Our Busy Bees program is also strong on discipline and we will teach your kids how to respect the others. Bring your kids today for our free week trial! The sooner the better for them!!!";;;;;"https://www.busybjj.com/schedule";;"Mario Correa";;"busybjj@gmail.com";"https://www.facebook.com/BusyBJJ/";"https://www.youtube.com/channel/UC6nUAFDi4CQ6lNNJHBe6oiA";"https://youtu.be/q7fu7upm09k";;1;353;
"Easton Training Center - Denver";"https://eastonbjj.com/";(303) 623-1715;"1304 S Santa Fe Dr";"Denver";"CO";80223;"5/5 Stars";"United States";"Located on the corner of Louisiana and Santa Fe, just south of I-25, Easton Training Center – Denver opened its doors in 2007 and has since become incredibly involved with the mixed martial arts community.";"https://eastonbjj.com/wp-content/uploads/2015/04/Easton-Logo-White.jpg";"https://eastonbjj.com/kids-martial-arts/";"At Easton Training Center we offer kids’ martial arts classes in both Brazilian Jiu Jitsu and Muay Thai.  These programs focus heavily on teaching children martial arts in a positive, playful setting. Classes include technique drills, games, live training, and a daily Mat Chat, where coaches discuss the life lessons of martial arts.";;;"Fitness, Kickboxing, Muay Thai";;"https://eastonbjj.com/denver/schedule/";;"Eliot Marshall";;"denver@eastontc.com";"https://www.facebook.com/EastonTrainingCenter";"https://www.youtube.com/user/eastontc";"https://youtu.be/bR3i-0YOph0";;0;336;
